,profiles,kw,count
0,satsdart,co,14
1,,RT,10
2,,satsdart,4
3,,points,4
4,,time,3
5,,making,3
6,,u,3
7,,made,2
8,,sell,2
9,,bought,2
10,,shilling,2
11,,sure,2
12,,progress,2
13,,system,2
14,,protocol,2
15,,taking,2
16,,thats,2
17,,worth,2
18,,tweets,2
19,,entire,2
20,,sei,2
21,,mfs,2
22,,months,2
23,,best,2
24,,playlist,1
25,,good,1
26,,sets,1
27,,y8oULY0YaI,1
28,,beary,1
29,,sellbert,1
30,,weekends,1
31,,targeting,1
32,,nurlp9ryiX,1
33,,WTFFFF,1
34,,SOL,1
35,,BxqGnenBz1,1
36,,zachxbt,1
37,,Remember,1
38,,influencers,1
39,,lot,1
40,,followers,1
41,,start,1
42,,project,1
43,,launch,1
44,,likely,1
45,,bc,1
46,,OrderlyNetwork,1
47,,New,1
48,,Futures,1
49,,Listing,1
50,,INJ,1
51,,LINK,1
52,,SUI,1
53,,LIVE,1
54,,Trade,1
55,,ZERO,1
56,,gas,1
57,,fees,1
58,,10X,1
59,,leverage,1
60,,Available,1
61,,_,1
62,,market,1
63,,pnl,1
64,,posting,1
65,,stopped,1
66,,kek,1
67,,havent,1
68,,seen,1
69,,week,1
70,,Amazing,1
71,,promises,1
72,,team,1
73,,something,1
74,,happen,1
75,,less,1
76,,reliance,1
77,,single,1
78,,MM,1
79,,developing,1
80,,long,1
81,,term,1
82,,instead,1
83,,airdropping,1
84,,tokens,1
85,,smart,1
86,,trying,1
87,,reinvent,1
88,,OHM,1
89,,announcing,1
90,,getting,1
91,,roasted,1
92,,replies,1
93,,without,1
94,,hmm,1
95,,maybe,1
96,,6vsjFWonDV,1
97,,nothing,1
98,,wrong,1
99,,w,1
100,,investing,1
101,,private,1
102,,rounds,1
103,,tweeting,1
104,,disclosed,1
105,,dont,1
106,,shotgunning,1
107,,deal,1
108,,offered,1
109,,tiny,1
110,,allo,1
111,,surely,1
112,,theres,1
113,,better,1
114,,ways,1
115,,monetize,1
116,,turning,1
117,,billboards,1
118,,figure,1
119,,allocations,1
120,,influenzas,1
121,,seed,1
122,,deals,1
123,,month,1
124,,guys,1
125,,put,1
126,,come,1
127,,lol,1
128,,cburniske,1
129,,trouble,1
130,,opportunistically,1
131,,raising,1
132,,much,1
133,,fast,1
134,,high,1
135,,valuation,1
136,,typically,1
137,,expectations,1
138,,TheBlock__,1
139,,EXCLUSIVE,1
140,,Crypto,1
141,,exchange,1
142,,WOO,1
143,,X,1
144,,raises,1
145,,million,1
146,,improve,1
147,,liquidity,1
148,,cGe6F0g0GZ,1
149,,NAHHH,1
150,,HAHAHA,1
151,,h829bOZUaU,1
152,,10xd,1
153,,mcdonalds,1
154,,menu,1
155,,q0h9TY2Jpn,1
156,,Cum,1
157,,bowl,1
158,,favorite,1
159,,part,1
160,,cryptosoupgroup,1
161,,s4lsXP6xmm,1
162,,tervoooo,1
163,,reason,1
164,,conservative,1
165,,likes,1
166,,ive,1
167,,built,1
168,,relationships,1
169,,liking,1
170,,virtual,1
171,,empire,1
172,,res,1
173,,ppl,1
174,,flipping,1
175,,cents,1
176,,fucking,1
177,,hilarious,1
178,,WcNAd3AAcK,1
179,,Gm,1
180,,Gp9HzR0Je6,1
181,,watched,1
182,,free,1
183,,mint,1
184,,nft,1
185,,worse,1
186,,sol,1
187,,lmfao,1
188,,xbtgodXD,1
189,,plotted,1
190,,excel,1
191,,sheet,1
192,,first,1
193,,negative,1
194,,almost,1
195,,ath,1
196,,two,1
197,,XD,1
198,,power,1
199,,airdrops,1
200,,rally,1
201,,real,1
202,,sE9JbG9cHY,1
203,,sunday,1
204,,4hTKopLU6c,1
205,,tia,1
206,,stake,1
207,,shorted,1
208,,perps,1
209,,apy,1
210,,days,1
211,,many,1
212,,afraid,1
213,,naked,1
214,,Jx3WwvD3cA,1
215,,lBattleRhino,1
216,,really,1
217,,need,1
218,,stop,1
219,,meta,1
220,,pretending,1
221,,traders,1
222,,space,1
223,,right,1
224,,guess,1
225,,new,1
226,,mark,1
227,,assume,1
228,,active,1
229,,tweeters,1
230,,see,1
231,,tl,1
232,,underperformed,1
233,,massively,1
234,,well,1
235,,stick,1
236,,thoughts,1
237,,timeline,1
238,,read,1
239,,past,1
240,,looked,1
241,,ih59VqTr0M,1
242,,Oh,1
