,profiles,kw,count
0,saylor,Bitcoin,12
1,,co,10
2,,Money,4
3,,new,2
4,,asset,2
5,,BTC,2
6,,digital,2
7,,excellent,1
8,,review,1
9,,emergence,1
10,,class,1
11,,positive,1
12,,shift,1
13,,sentiment,1
14,,Wall,1
15,,Street,1
16,,growing,1
17,,appreciation,1
18,,global,1
19,,store,1
20,,value,1
21,,dee_bosa,1
22,,ZzWbDHo30a,1
23,,Half,1
24,,Life,1
25,,Forever,1
26,,Everyone,1
27,,wNEyz6Wo8H,1
28,,Everything,1
29,,Credit,1
30,,Protects,1
31,,eBMHvs9OUp,1
32,,encounter,1
33,,strange,1
34,,Pet,1
35,,Rock,1
36,,circulating,1
37,,blockchain,1
38,,nothing,1
39,,allow,1
40,,people,1
41,,something,1
42,,trade,1
43,,among,1
44,,without,1
45,,fear,1
46,,debasement,1
47,,theft,1
48,,discovered,1
49,,money,1
50,,Full,1
51,,Steam,1
52,,Ahead,1
53,,FGcq4EHahF,1
54,,Discover,1
55,,71KwssihbY,1
56,,Actually,1
57,,Scales,1
58,,Gold,1
59,,USD,1
60,,qCT6rI62gp,1
61,,Rogue,1
62,,YBqBLLfRJO,1
63,,Cyber,1
64,,Fire,1
65,,GByIpJCMZl,1
66,,Warning,1
67,,risk,1
68,,free,1
69,,way,1
70,,double,1
71,,bitcoin,1
72,,MicroStrategy,1
73,,give,1
74,,away,1
75,,scan,1
76,,barcode,1
77,,team,1
78,,takes,1
79,,fake,1
80,,AI,1
81,,generated,1
82,,YouTube,1
83,,videos,1
84,,day,1
85,,scammers,1
86,,keep,1
87,,launching,1
88,,trust,1
89,,verify,1
90,,gqZkQW02Ji,1
91,,Precision,1
92,,Work,1
93,,44Kt1sJH0z,1
