,profiles,kw,count
0,sendit_eth,RT,19
1,,Frog_Marketer,11
2,,co,10
3,,Bitcoin,10
4,,BTC,8
5,,Bitcoin_Punks_,6
6,,Punks,4
7,,think,4
8,,10k,3
9,,Punk,3
10,,million,3
11,,fees,3
12,,Collections,3
13,,ordinal,2
14,,BTCPunkBot,2
15,,sold,2
16,,MEonBTC,2
17,,dt6vd8jijo,2
18,,reasons,2
19,,NFA,2
20,,Ordinals,2
21,,one,2
22,,projects,2
23,,February,2
24,,registrations,2
25,,registration,2
26,,see,2
27,,inscriptions,2
28,,Day,2
29,,Volume,2
30,,Bitcoinpunk4156,1
31,,1st,1
32,,collection,1
33,,GODS,1
34,,chain,1
35,,NJlDtEqDS8,1
36,,thread,1
37,,democratize,1
38,,together,1
39,,know,1
40,,Frog,1
41,,Marketer,1
42,,marketin,1
43,,first,1
44,,major,1
45,,NFT,1
46,,launched,1
47,,Ordinal,1
48,,Protocol,1
49,,ht,1
50,,January,1
51,,protocol,1
52,,made,1
53,,public,1
54,,March,1
55,,BRC,1
56,,invented,1
57,,Basically,1
58,,everythin,1
59,,reached,1
60,,April,1
61,,May,1
62,,total,1
63,,registr,1
64,,rate,1
65,,months,1
66,,bel,1
67,,Registration,1
68,,much,1
69,,higher,1
70,,created,1
71,,aKJNchjo,1
72,,best,1
73,,organized,1
74,,distribution,1
75,,seen,1
76,,unique,1
77,,holders,1
78,,among,1
79,,offer,1
80,,make,1
81,,equal,1
82,,near,1
83,,future,1
84,,R9EUr,1
85,,Twitter,1
86,,administration,1
87,,group,1
88,,earned,1
89,,penny,1
90,,royalties,1
91,,minting,1
92,,weirddalle,1
93,,dudes,1
94,,something,1
95,,hell,1
96,,yeah,1
97,,xGhcPzgQCx,1
98,,concrete_found,1
99,,Founders,1
100,,post,1
101,,project,1
102,,liquidation,1
103,,8JhknhzIWC,1
104,,ordinals,1
105,,crossing,1
106,,wait,1
107,,till,1
108,,hit,1
109,,55billion,1
110,,degens,1
111,,fading,1
112,,top,1
113,,low,1
114,,Clearly,1
115,,market,1
116,,looks,1
117,,picking,1
118,,winners,1
119,,punks,1
120,,node,1
121,,monkeys,1
122,,frogs,1
123,,1000x,1
124,,bassel_amin,1
125,,Top,1
126,,Traded,1
127,,nodemonkes,1
128,,BitcoinFrogs,1
129,,Bitmap,1
130,,guys,1
131,,chart,1
132,,bitcoinpunks,1
133,,OrdinalsNFT,1
134,,wvGXpQRLUD,1
135,,BitcoinBearsOrd,1
136,,SUB1M,1
137,,brief,1
138,,overview,1
139,,Sales,1
140,,u,1
141,,PasCrypt_,1
142,,sendit_eth,1
143,,MegaPunks_BTC,1
144,,wild,1
145,,ride,1
146,,bull,1
147,,run,1
