,profiles,kw,count
0,shardbound_game,co,7
1,,ring,3
2,,Shardbound,2
3,,rocks,2
4,,Minecraft,2
5,,cost,2
6,,OOoooo,1
7,,Friday,1
8,,Feeling,1
9,,N5BvIcJSsi,1
10,,decision,1
11,,time,1
12,,Stormbell,1
13,,Adept,1
14,,well,1
15,,musical,1
16,,maestro,1
17,,alter,1
18,,enemy,1
19,,movements,1
20,,full,1
21,,round,1
22,,Drop,1
23,,bell,1
24,,Bfzy0iu99h,1
25,,Boulders,1
26,,average,1
27,,Unlike,1
28,,block,1
29,,line,1
30,,sight,1
31,,turning,1
32,,move,1
33,,tactical,1
34,,challenge,1
35,,bring,1
36,,skills,1
37,,case,1
38,,l0JP4Vc55s,1
39,,Forget,1
40,,Big,1
41,,Bang,1
42,,creation,1
43,,Shardfall,1
44,,0OJYzCVdVj,1
45,,RT,1
46,,Immutable,1
47,,Rule,1
48,,skies,1
49,,DCWmnuQAwR,1
50,,CRITICAL,1
51,,BATTLEFIELD,1
52,,DECISION,1
53,,wait,1
54,,draw,1
55,,high,1
56,,ultra,1
57,,powerful,1
58,,card,1
59,,summon,1
60,,bunch,1
61,,low,1
62,,minions,1
63,,chip,1
64,,away,1
65,,opponent,1
66,,YMy9jVAgUU,1
67,,excited,1
68,,launch,1
69,,Ultimate,1
70,,damage,1
71,,loading,1
72,,QGOdRWikWD,1
