,profiles,kw,count
0,shieldaitech,co,3
1,,Real,2
2,,autonomy,2
3,,License,2
4,,Rights,2
5,,V,2
6,,BAT,2
7,,Marines,2
8,,operate,1
9,,GPS,1
10,,communications,1
11,,jammed,1
12,,shortcuts,1
13,,requires,1
14,,world,1
15,,class,1
16,,team,1
17,,AI,1
18,,software,1
19,,engineers,1
20,,specializing,1
21,,sensing,1
22,,state,1
23,,estimation,1
24,,mapping,1
25,,planning,1
26,,controls,1
27,,systems,1
28,,Functionally,1
29,,T55lj6gqNO,1
30,,UMEX_SIMTEX,1
31,,next,1
32,,Tuesday,1
33,,Thursday,1
34,,addition,1
35,,stopping,1
36,,booth,1
37,,sure,1
38,,attend,1
39,,UMEX,1
40,,Talks,1
41,,featuring,1
42,,EVP,1
43,,International,1
44,,Business,1
45,,Development,1
46,,Robert,1
47,,Harward,1
48,,founder,1
49,,President,1
50,,brandontseng2,1
51,,Bob,1
52,,participating,1
53,,fireside,1
54,,chat,1
55,,2rBGqyLAsM,1
56,,RT,1
57,,BizPeabody,1
58,,Specifically,1
59,,Negotiated,1
60,,Commercial,1
61,,Computer,1
62,,Software,1
63,,seen,1
64,,RAH,1
65,,tactical,1
66,,edge,1
67,,MarineCorps,1
68,,VBAT,1
69,,making,1
70,,things,1
71,,happen,1
72,,part,1
73,,Official13thMEU,1
74,,enabled,1
75,,gain,1
76,,crucial,1
77,,intel,1
78,,areas,1
79,,beyond,1
80,,naval,1
81,,reach,1
82,,validating,1
83,,Expeditionary,1
84,,Advanced,1
85,,Base,1
86,,EAB,1
