,profiles,kw,count
0,shufflecom,co,35
1,,Shuffle,16
2,,Learn,12
3,,games,9
4,,vs,9
5,,win,8
6,,bet,8
7,,Comment,7
8,,sports,6
9,,NHL,6
10,,game,6
11,,wild,5
12,,new,4
13,,Try,4
14,,day,4
15,,even,4
16,,winners,4
17,,odds,4
18,,Goal,4
19,,team,4
20,,loses,4
21,,refund,4
22,,start,4
23,,goal,4
24,,huge,3
25,,Level,3
26,,Bonus,3
27,,back,3
28,,earn,3
29,,ranking,3
30,,massive,3
31,,chance,3
32,,Entries,3
33,,close,3
34,,hours,3
35,,Must,3
36,,username,3
37,,NBA,3
38,,ready,3
39,,amp,3
40,,Fire,3
41,,Hole,3
42,,NFL,3
43,,playoff,3
44,,promotion,3
45,,first,3
46,,better,2
47,,Silver,2
48,,Ruby,2
49,,GljZQZQ1R9,2
50,,Ugliest,2
51,,Catch,2
52,,GL,2
53,,fans,2
54,,stacked,2
55,,tomorrow,2
56,,matches,2
57,,Guarantee,2
58,,going,2
59,,third,2
60,,period,2
61,,match,2
62,,Money,2
63,,Train,2
64,,another,2
65,,coming,2
66,,smarter,2
67,,Overtime,2
68,,Insurance,2
69,,xBomb,2
70,,play,2
71,,share,2
72,,stream,2
73,,z4PbQj0dOi,2
74,,winner,2
75,,Pop,2
76,,card,2
77,,wins,2
78,,points,2
79,,double,2
80,,winnings,2
81,,Limbo,2
82,,scorer,2
83,,score,2
84,,UFC,2
85,,NFLPlayoffs,2
86,,Split,2
87,,Decision,2
88,,prematch,2
89,,Plinko,2
90,,Double,2
91,,Winnings,2
92,,bettors,1
93,,insane,1
94,,Pritchjj,1
95,,Bet,1
96,,PRMg1fr1HJ,1
97,,q5gvwdP4vk,1
98,,bigger,1
99,,year,1
100,,wagering,1
101,,Upgraded,1
102,,zNIxsnUiNo,1
103,,cents,1
104,,Marcxavier,1
105,,qYwSS9Fygq,1
106,,jiiWLcEXjv,1
107,,Let,1
108,,make,1
109,,tommorrow,1
110,,follow,1
111,,Bruins,1
112,,Avalanche,1
113,,Oilers,1
114,,Kraken,1
115,,Golden,1
116,,Knights,1
117,,Rangers,1
118,,Hockey,1
119,,Even,1
120,,leads,1
121,,XLI7hk4qvX,1
122,,Mechazilla,1
123,,x49y5YkHUh,1
124,,WHm5JwdIbN,1
125,,DSOawOdTCt,1
126,,UFDj0B1Xpr,1
127,,brand,1
128,,kick,1
129,,simply,1
130,,playing,1
131,,O0zLwbnGJx,1
132,,explosive,1
133,,Hannya,1
134,,mvOWjrsOn6,1
135,,85hlA1Ji5J,1
136,,Supercharge,1
137,,gaming,1
138,,experience,1
139,,NoLimit,1
140,,Action,1
141,,Spins,1
142,,execute,1
143,,multiple,1
144,,rounds,1
145,,per,1
146,,second,1
147,,significantly,1
148,,speeding,1
149,,gameplay,1
150,,Available,1
151,,select,1
152,,Mental,1
153,,San,1
154,,Quentin,1
155,,Das,1
156,,xBoot,1
157,,xWays,1
158,,Hoarder,1
159,,xSplit,1
160,,Deadwood,1
161,,al0i7KsT17,1
162,,favorite,1
163,,top,1
164,,THREE,1
165,,randomly,1
166,,pick,1
167,,ten,1
168,,weekend,1
169,,biggest,1
170,,leagues,1
171,,around,1
172,,world,1
173,,Live,1
174,,Free,1
175,,miss,1
176,,minute,1
177,,action,1
178,,streaming,1
179,,yU3M2PwIVG,1
180,,Leave,1
181,,entries,1
182,,Noah,1
183,,post,1
184,,eligible,1
185,,best,1
186,,guess,1
187,,final,1
188,,Wild,1
189,,Card,1
190,,round,1
191,,let,1
192,,little,1
193,,fun,1
194,,Buccaneers,1
195,,Eagles,1
196,,ONE,1
197,,HOUR,1
198,,Slots,1
199,,one,1
200,,boring,1
201,,Click,1
202,,Out',1
203,,icon,1
204,,bottom,1
205,,left,1
206,,screen,1
207,,many,1
208,,want,1
209,,faster,1
210,,ddUJoor3IB,1
211,,J1bQZHSI4j,1
212,,Day,1
213,,week,1
214,,bets,1
215,,jm1OByg7I9,1
216,,Ly7M4xKSEQ,1
217,,SomeGuy,1
218,,casual,1
219,,999x,1
220,,multiplier,1
221,,Original,1
222,,wjgtfdMnNu,1
223,,nqQm5JbLzu,1
224,,EPL,1
225,,kicks,1
226,,fast,1
227,,later,1
228,,stake,1
229,,pHVemceQSP,1
230,,V6ubWcRUOe,1
231,,come,1
232,,Stream,1
233,,hyped,1
234,,sporting,1
235,,live,1
236,,free,1
237,,home,1
238,,betting,1
239,,LaxoN84DY0,1
240,,race,1
241,,StanleyCup,1
242,,paid,1
243,,leading,1
244,,OKKj8WHIqO,1
245,,Twitter,1
246,,Multi,1
247,,SIX,1
248,,HoustonTexans,1
249,,Browns,1
250,,Chiefs,1
251,,MiamiDolphins,1
252,,BuffaloBills,1
253,,steelers,1
254,,dallascowboys,1
255,,packers,1
256,,Lions,1
257,,RamsNFL,1
258,,Fight,1
259,,Fans,1
260,,kicking,1
261,,knockout,1
262,,got,1
263,,Breaker,1
264,,kd8d10eIpq,1
265,,Hiwp9V8t1J,1
266,,W,1
267,,hits,1
268,,different,1
269,,Play,1
270,,M6RGJweTMm,1
271,,TIEz838T6L,1
272,,Playoffs,1
273,,jm1OByfzSB,1
274,,3qlqpKNg4d,1
