,profiles,kw,count
0,sovereignsignal,RT,9
1,,co,6
2,,gitcoin,4
3,,update,3
4,,network,2
5,,grants,2
6,,grant,2
7,,ecosystem,2
8,,owocki,2
9,,college,2
10,,DAO,2
11,,people,2
12,,see,2
13,,resolution,2
14,,probably,2
15,,oPMUxaSdqx,2
16,,LefterisJP,2
17,,Optimism,2
18,,results,2
19,,RPGF3,2
20,,Grant,2
21,,t__norm,1
22,,entering,1
23,,new,1
24,,era,1
25,,incentives,1
26,,watched,1
27,,L2s,1
28,,navigate,1
29,,balancing,1
30,,act,1
31,,giving,1
32,,protocols,1
33,,empowers,1
34,,communities,1
35,,multiple,1
36,,mechanisms,1
37,,across,1
38,,various,1
39,,stages,1
40,,growth,1
41,,part,1
42,,trans,1
43,,calling,1
44,,blockchain,1
45,,clubs,1
46,,may,1
47,,run,1
48,,QF,1
49,,rounds,1
50,,campus,1
51,,GG20,1
52,,couple,1
53,,months,1
54,,ap,1
55,,DennisonBertram,1
56,,back,1
57,,steps,1
58,,Gitcoin,1
59,,Renaissance,1
60,,Make,1
61,,easy,1
62,,powerful,1
63,,Use,1
64,,ape_rture,1
65,,sovereignsignal,1
66,,analysis,1
67,,RetroPFG,1
68,,deserves,1
69,,attention,1
70,,Great,1
71,,combination,1
72,,onchain,1
73,,github,1
74,,data,1
75,,gigarahul,1
76,,yrs,1
77,,building,1
78,,DAOs,1
79,,finally,1
80,,explain,1
81,,community,1
82,,Communities,1
83,,groups,1
84,,customers,1
85,,timourxyz,1
86,,excited,1
87,,long,1
88,,term,1
89,,popup,1
90,,villages,1
91,,proto,1
92,,cities,1
93,,Zuzalu,1
94,,incredible,1
95,,OptimismGrants,1
96,,wants,1
97,,continue,1
98,,builders,1
99,,program,1
100,,OjcDqSJVdj,1
101,,news,1
102,,years,1
103,,getting,1
104,,updates,1
105,,consistently,1
106,,fail,1
107,,others,1
108,,trying,1
109,,DMs,1
110,,always,1
111,,open,1
112,,lots,1
113,,RPGF,1
114,,favorite,1
115,,one,1
116,,yU63KgWJny,1
117,,announced,1
118,,already,1
119,,knew,1
120,,ihkU1DgHqG,1
121,,streaming,1
122,,Crypto,1
123,,Wire,1
124,,Stay,1
125,,loop,1
126,,Web3,1
127,,Governance,1
128,,insightful,1
129,,thoughts,1
130,,intriguing,1
131,,tools,1
132,,Let,1
133,,dive,1
134,,last,1
135,,week,1
136,,Join,1
137,,us,1
138,,ueXedCKWrU,1
139,,X,1
140,,many,1
141,,talk,1
142,,comments,1
143,,flying,1
144,,nay,1
145,,sayers,1
146,,jus,1
