,profiles,kw,count
0,stark__0007,ന,14
1,,ട,13
2,,ക,12
3,,ത,7
4,,പ,7
5,,ച,6
6,,co,5
7,,ഒര,5
8,,ല,4
9,,സ,4
10,,ര,3
11,,ൽ,3
12,,അത,2
13,,ൻ,2
14,,ഉള,2
15,,ള,2
16,,ഞ,2
17,,യ,2
18,,ങ,2
19,,മ,2
20,,കള,2
21,,ണ,2
22,,തര,2
23,,കഥ,2
24,,ൾ,2
25,,RT,1
26,,MalavikaM_,1
27,,Virat,1
28,,Kohli,1
29,,ലൻ,1
30,,Lalettan,1
31,,Screen,1
32,,Presence,1
33,,Peak,1
34,,Theatre,1
35,,Experience,1
36,,Loadinggg,1
37,,Vaalibaaaaaaa,1
38,,Mohanlal,1
39,,MalaikkottaiVaaliban,1
40,,eQACU4yDP3,1
41,,നല,1
42,,അവസര,1
43,,ലച,1
44,,കളയ,1
45,,മനസ,1
46,,SanjuSamson,1
47,,INDvsAFG,1
48,,n9y3fJKRbx,1
49,,ഇര,1
50,,ആയ,1
51,,കഴ,1
52,,ഷ,1
53,,അല,1
54,,ജ,1
55,,ഇറങ,1
56,,അവർ,1
57,,നമ,1
58,,മള,1
59,,രത,1
60,,ഈ,1
61,,മയ,1
62,,ശ,1
63,,തലത,1
64,,പറയ,1
65,,നത,1
66,,ഗ,1
67,,മവ,1
68,,അവ,1
69,,അന,1
70,,ഷവ,1
71,,നൽക,1
72,,ഹ,1
73,,റർ,1
74,,വ,1
75,,ബ,1
76,,vEIdeCJDB6,1
77,,മൻ,1
78,,PerilloorPremierLeague,1
79,,X4RRi9GIyw,1
80,,bating,1
81,,average,1
82,,KING,1
83,,VIRAT,1
84,,KOHLI,1
85,,ViratKohli𓃵,1
86,,T20I,1
87,,fC81zQ6DyQ,1
