,profiles,kw,count
0,steerprotocol,APR,12
1,,co,9
2,,Steer,6
3,,WETH,6
4,,ZTX,5
5,,Pool,5
6,,new,5
7,,stake,4
8,,QuickswapDEX,4
9,,pool,4
10,,rewards,3
11,,RT,3
12,,COSM0Smarkets,3
13,,Tashi,3
14,,WMATIC,3
15,,power,2
16,,Protocol,2
17,,Unstake,2
18,,staked,2
19,,follow,2
20,,guide,2
21,,reward,2
22,,Deposit,2
23,,live,2
24,,current,2
25,,ALM,2
26,,steerprotocol,2
27,,started,2
28,,forgeDEX,2
29,,Smart,2
30,,Pools,2
31,,yield,2
32,,smart,2
33,,WBTC,2
34,,Strategy,2
35,,USDT,2
36,,miss,1
37,,opportunity,1
38,,elevate,1
39,,holdings,1
40,,Experience,1
41,,innovative,1
42,,platform,1
43,,amplify,1
44,,returns,1
45,,Stake,1
46,,Claim,1
47,,ease,1
48,,journey,1
49,,optimal,1
50,,starts,1
51,,already,1
52,,old,1
53,,UI,1
54,,steps,1
55,,Click,1
56,,expired,1
57,,claim,1
58,,earn,1
59,,Exciting,1
60,,Holders,1
61,,Maximize,1
62,,potential,1
63,,pools,1
64,,dApp,1
65,,today,1
66,,unlock,1
67,,compelling,1
68,,ZTXofficial,1
69,,featuring,1
70,,exceptional,1
71,,QHNA8Q9zLP,1
72,,MantaNetwork,1
73,,True,1
74,,form,1
75,,partnership,1
76,,another,1
77,,example,1
78,,truly,1
79,,user,1
80,,focused,1
81,,ecosystem,1
82,,becomin,1
83,,quick,1
84,,easy,1
85,,Follow,1
86,,LP,1
87,,minute,1
88,,NveTNP9aUf,1
89,,vxiGWYv5EW,1
90,,Attention,1
91,,EvmosOrg,1
92,,users,1
93,,ACTIVE,1
94,,LPs,1
95,,Enjoy,1
96,,juicy,1
97,,dv3nH43PcA,1
98,,teamed,1
99,,WEVMOS,1
100,,Reward,1
101,,asRffd,1
102,,Maximise,1
103,,STONE,1
104,,wUSDM,1
105,,LPing,1
106,,amp,1
107,,farming,1
108,,MantaPacific,1
109,,via,1
110,,QuickSwap,1
111,,Earn,1
112,,total,1
113,,Explore,1
114,,rewarded,1
115,,bptgsSkc8w,1
116,,find,1
117,,choice,1
118,,Suggest,1
119,,add,1
120,,directly,1
121,,unique,1
122,,feature,1
123,,benefit,1
124,,AngleProtocol,1
125,,Merkle,1
126,,Integration,1
127,,Happy,1
128,,Lping,1
129,,Moving,1
130,,Volatility,1
131,,Channel,1
132,,Interval,1
133,,Trigger,1
134,,Current,1
135,,Rewards,1
136,,Active,1
137,,Know,1
138,,res9CwKY8Q,1
139,,aMbn1PM0v2,1
140,,High,1
141,,opportunities,1
142,,Polygon,1
143,,PoS,1
144,,CRV,1
145,,LINK,1
146,,AAVE,1
147,,EmmYee2id0,1
148,,Looking,1
149,,provide,1
150,,liquidity,1
151,,MetisDAO,1
152,,go,1
153,,holder,1
154,,forget,1
155,,vote,1
156,,proposal,1
