,profiles,kw,count
0,suiswap_app,Launchpad,6
1,,SuiSwap,5
2,,co,4
3,,upcoming,3
4,,Members,3
5,,new,3
6,,SSWP,3
7,,Suiswap,3
8,,New,2
9,,features,2
10,,Sui,2
11,,ecosystem,2
12,,community,2
13,,Guaranteed,2
14,,allocations,2
15,,Stake,2
16,,Airdrops,2
17,,designed,2
18,,Website,1
19,,Live,1
20,,upgraded,1
21,,site,1
22,,enhancements,1
23,,UI,1
24,,UX,1
25,,making,1
26,,ideal,1
27,,gateway,1
28,,onboard,1
29,,next,1
30,,million,1
31,,users,1
32,,Ecosystem,1
33,,ready,1
34,,launch,1
35,,Staking,1
36,,PFnXOCbM9m,1
37,,expand,1
38,,let,1
39,,take,1
40,,moment,1
41,,reflect,1
42,,global,1
43,,built,1
44,,inception,1
45,,359K,1
46,,X,1
47,,Followers,1
48,,323K,1
49,,Discord,1
50,,55K,1
51,,Telegram,1
52,,Together,1
53,,move,1
54,,forward,1
55,,creating,1
56,,leading,1
57,,GeiSqKk7RZ,1
58,,Join,1
59,,Revolution,1
60,,Embark,1
61,,journey,1
62,,us,1
63,,introduce,1
64,,era,1
65,,decentralized,1
66,,finance,1
67,,innovation,1
68,,meets,1
69,,opportunity,1
70,,invite,1
71,,member,1
72,,part,1
73,,exciting,1
74,,chapter,1
75,,Key,1
76,,Features,1
77,,tokens,1
78,,earn,1
79,,exclusive,1
80,,rewards,1
81,,increase,1
82,,eligibility,1
83,,participation,1
84,,launches,1
85,,top,1
86,,qualify,1
87,,Breaking,1
88,,thrilled,1
89,,announce,1
90,,first,1
91,,products,1
92,,groundbreaking,1
93,,platform,1
94,,harness,1
95,,rapid,1
96,,growth,1
97,,SUI,1
98,,network,1
99,,AfrYWWa3WS,1
100,,CoinMarketCap,1
101,,Trending,1
102,,List,1
103,,CMC,1
104,,ihAy2R5Znj,1
