,profiles,kw,count
0,swisstronik,crypto,9
1,,way,4
2,,traditional,4
3,,regulation,3
4,,investors,3
5,,finance,3
6,,co,3
7,,CLI,3
8,,Regulation,2
9,,ETFs,2
10,,bad,2
11,,innovation,2
12,,want,2
13,,possible,2
14,,asset,2
15,,exchange,2
16,,Bitcoin,2
17,,Wall,2
18,,Street,2
19,,without,2
20,,win,2
21,,coming,2
22,,Swisstronik,2
23,,Davos,2
24,,compliance,2
25,,exercise,1
26,,fun,1
27,,worth,1
28,,think,1
29,,Good,1
30,,Let,1
31,,open,1
32,,discussion,1
33,,Approval,1
34,,paves,1
35,,Ethereum,1
36,,responsible,1
37,,product,1
38,,development,1
39,,better,1
40,,bags,1
41,,go,1
42,,fastest,1
43,,make,1
44,,lists,1
45,,bigger,1
46,,prone,1
47,,jump,1
48,,trades,1
49,,biggest,1
50,,taste,1
51,,happen,1
52,,Mainstream,1
53,,access,1
54,,products,1
55,,safe,1
56,,reliable,1
57,,used,1
58,,means,1
59,,part,1
60,,retirement,1
61,,funds,1
62,,diluted,1
63,,retail,1
64,,financial,1
65,,rules,1
66,,apply,1
67,,BitcoinETF,1
68,,approval,1
69,,shows,1
70,,eager,1
71,,embrace,1
72,,cause,1
73,,implies,1
74,,heavy,1
75,,step,1
76,,help,1
77,,Web3,1
78,,projects,1
79,,adapt,1
80,,kHW57mizk5,1
81,,merge,1
82,,good,1
83,,thing,1
84,,definitely,1
85,,questionable,1
86,,aspects,1
87,,side,1
88,,decentralization,1
89,,narrative,1
90,,reasons,1
91,,positively,1
92,,affect,1
93,,industry,1
94,,holders,1
95,,Hello,1
96,,CMO,1
97,,alexandra10anna,1
98,,visiting,1
99,,Swiss,1
100,,town,1
101,,World,1
102,,Economic,1
103,,Forum,1
104,,wef,1
105,,spreading,1
106,,word,1
107,,swisstronik,1
108,,Lots,1
109,,great,1
110,,connections,1
111,,happening,1
112,,come,1
113,,say,1
114,,hi,1
115,,updates,1
116,,Friday,1
117,,Buckle,1
118,,Crew,1
119,,Compliant,1
120,,Wednesday,1
121,,favorite,1
122,,weekly,1
123,,roundup,1
124,,deliver,1
125,,big,1
126,,news,1
127,,strap,1
128,,Singapore,1
129,,gets,1
130,,expanded,1
131,,oversight,1
132,,line,1
133,,global,1
134,,crackdowns,1
135,,needs,1
136,,breathing,1
137,,room,1
138,,amidst,1
139,,red,1
140,,tape,1
141,,B7alyMi3yy,1
142,,Announcing,1
143,,Dev,1
144,,Challenge,1
145,,Start,1
146,,sharing,1
147,,improvement,1
148,,ideas,1
149,,Command,1
150,,Line,1
151,,Interface,1
152,,tool,1
153,,Study,1
154,,docs,1
155,,try,1
156,,submit,1
157,,feedback,1
158,,USDT,1
159,,quick,1
160,,deadline,1
161,,Jan,1
162,,Details,1
163,,1zlM37bOWm,1
