,profiles,kw,count
0,taikoxyz,co,13
1,,Taiko,8
2,,A6,7
3,,Katla,4
4,,Bitget,3
5,,Wallet,3
6,,testnet,3
7,,learn,3
8,,Join,3
9,,Community,2
10,,Call,2
11,,minutes,2
12,,exciting,2
13,,journey,2
14,,make,2
15,,Galxe,2
16,,Points,2
17,,users,2
18,,GASU,2
19,,join,2
20,,latest,2
21,,Testnet,2
22,,new,2
23,,details,2
24,,Booster,2
25,,tomorrow,2
26,,rollups,2
27,,RT,2
28,,Ethereum,2
29,,us,2
30,,ideas,2
31,,ahead,2
32,,friendly,1
33,,reminder,1
34,,starts,1
35,,WZEVTYjc1d,1
36,,Ready,1
37,,embark,1
38,,Start,1
39,,adventure,1
40,,YaC3BHy4vU,1
41,,Good,1
42,,luck,1
43,,let,1
44,,fun,1
45,,educational,1
46,,experience,1
47,,everyone,1
48,,Rewards,1
49,,grabs,1
50,,Complete,1
51,,tasks,1
52,,dashboard,1
53,,claim,1
54,,Bonuses,1
55,,New,1
56,,holding,1
57,,10u,1
58,,making,1
59,,swap,1
60,,Existing,1
61,,raffle,1
62,,adding,1
63,,launched,1
64,,campaign,1
65,,started,1
66,,Dive,1
67,,Learn,1
68,,Take,1
69,,quiz,1
70,,Experience,1
71,,Collect,1
72,,points,1
73,,amp,1
74,,enjoy,1
75,,oK3wAnDDQQ,1
76,,ej6xd7y47m,1
77,,currently,1
78,,planning,1
79,,Based,1
80,,Rollups,1
81,,sure,1
82,,Joaquin_Mendes1,1
83,,indraynor,1
84,,upcoming,1
85,,Dencun,1
86,,upgrade,1
87,,means,1
88,,iCHAZb0H8M,1
89,,Going,1
90,,live,1
91,,6KsEuPbbGE,1
92,,Cointelegraph,1
93,,Buterin,1
94,,agreed,1
95,,comment,1
96,,Daniel,1
97,,Wang,1
98,,founder,1
99,,rollup,1
100,,solution,1
101,,said,1
102,,Ethe,1
103,,pXxVSvDVbZ,1
104,,horizon,1
105,,Friday,1
106,,session,1
107,,Catch,1
108,,questions,1
109,,matter,1
110,,share,1
111,,Stage,1
112,,forum,1
113,,channel,1
114,,Mark,1
115,,date,1
116,,Jan,1
117,,UTC,1
118,,p2wz9d9cSQ,1
119,,OoHflUR2oo,1
120,,jQtXq74HLm,1
121,,zkSharding,1
122,,chat,1
123,,folks,1
124,,nil_foundation,1
125,,two,1
126,,novel,1
127,,scaling,1
128,,18IlNewtPj,1
129,,Chinese,1
130,,speaking,1
131,,community,1
132,,TheBlock__,1
133,,Layer,1
134,,project,1
135,,launches,1
136,,final,1
137,,planned,1
138,,mainnet,1
139,,release,1
140,,Q1,1
141,,f7OlWEEJjc,1
142,,go,1
143,,start,1
144,,playing,1
145,,info,1
146,,launch,1
147,,read,1
148,,blog,1
149,,post,1
150,,dWdoiDBgf6,1
