,profiles,kw,count
0,tenderize_me,co,9
1,,Tenderize,7
2,,sizzling,4
3,,Liquid,4
4,,Staking,4
5,,mainnet,3
6,,us,3
7,,Cypherpunk,3
8,,Chefs,3
9,,staking,3
10,,thrilled,2
11,,community,2
12,,Missed,2
13,,release,2
14,,AMA,2
15,,Respect,2
16,,Ethos,2
17,,Featuring,2
18,,0xPolygonLabs,2
19,,Infra_DAO,2
20,,arbitrum,2
21,,Livepeer,2
22,,share,2
23,,Twitter,2
24,,Cookout,2
25,,v2,2
26,,Partner,2
27,,V2,2
28,,Consensus,2
29,,Services,2
30,,Followers,2
31,,upcoming,2
32,,29th,2
33,,RT,2
34,,liquid,2
35,,uphold,1
36,,cypherpunk,1
37,,ethos,1
38,,open,1
39,,participation,1
40,,decentralization,1
41,,highlight,1
42,,follow,1
43,,motto,1
44,,liquidity,1
45,,rules,1
46,,Unlike,1
47,,protocols,1
48,,lock,1
49,,assets,1
50,,participate,1
51,,airdrops,1
52,,increasing,1
53,,risk,1
54,,cXbZ2TUO4H,1
55,,Earn,1
56,,HATS,1
57,,even,1
58,,Yes,1
59,,anon,1
60,,cooking,1
61,,something,1
62,,special,1
63,,devoted,1
64,,Trust,1
65,,loyalty,1
66,,rewarded,1
67,,deliciously,1
68,,details,1
69,,Fear,1
70,,Uhk88zwaq2,1
71,,Follow,1
72,,amp,1
73,,IZolK3Gyer,1
74,,CBaZ4N9Tlp,1
75,,minutes,1
76,,till,1
77,,Bring,1
78,,questions,1
79,,appetite,1
80,,knowledge,1
81,,tenderize,1
82,,future,1
83,,staying,1
84,,true,1
85,,allowed,1
86,,achieve,1
87,,absolutely,1
88,,success,1
89,,cooked,1
90,,announcement,1
91,,tweet,1
92,,last,1
93,,Friday,1
94,,taste,1
95,,juicy,1
96,,stats,1
97,,Performance,1
98,,Impressions,1
99,,increase,1
100,,FukTXshCKt,1
101,,forget,1
102,,join,1
103,,2hDyspmQBx,1
104,,Launching,1
105,,less,1
106,,days,1
107,,Check,1
108,,v1,1
109,,retroactive,1
110,,airdrop,1
111,,eligibility,1
112,,Prepare,1
113,,tokens,1
114,,stake,1
115,,Welcome,1
116,,Spotlight,1
117,,Series,1
118,,Announcing,1
119,,20th,1
120,,Finoa_io,1
121,,Finoa,1
122,,earning,1
123,,MATIC,1
124,,never,1
125,,simpler,1
126,,500M,1
127,,TVL,1
128,,non,1
129,,custodial,1
130,,approach,1
131,,94OCUcCXDo,1
132,,Inspired,1
133,,Vitalik,1
134,,vision,1
135,,hosting,1
136,,explore,1
137,,Date,1
138,,Thursday,1
139,,18th,1
140,,Time,1
141,,PM,1
142,,UTC,1
143,,j5QuAFfuIZ,1
144,,Cooking,1
145,,Decentralized,1
146,,Storm,1
147,,huge,1
148,,shoutout,1
149,,amazing,1
150,,Thanks,1
151,,support,1
152,,hit,1
153,,milestone,1
154,,Stay,1
155,,tuned,1
156,,updates,1
157,,yTWxWi01nk,1
158,,excited,1
159,,part,1
160,,first,1
161,,Community,1
162,,Talk,1
163,,hosted,1
164,,graphprotocol,1
165,,Join,1
166,,tomorrow,1
167,,discussion,1
168,,Mainnet,1
169,,Campaign,1
170,,knowing,1
171,,0xiamnico,1
172,,Validator,1
173,,specific,1
174,,LSTs,1
175,,way,1
176,,forward,1
177,,convinced,1
178,,yet,1
179,,Solana,1
180,,Sui,1
181,,tenderize_me,1
182,,worry,1
183,,revolution,1
184,,beginning,1
185,,Jan,1
186,,Tend,1
