,profiles,kw,count
0,thecoreloop,Headlines,2
1,,co,2
2,,Ronin,2
3,,top,2
4,,blockchain,2
5,,RT,1
6,,0xconglomerate,1
7,,Weekly,1
8,,Onchain,1
9,,Gaming,1
10,,Roundup,1
11,,SpeculatorArt,1
12,,currently,1
13,,building,1
14,,Tilt,1
15,,chain,1
16,,calling,1
17,,PvP,1
18,,fo,1
19,,Ronin_Network,1
20,,pixels_online,1
21,,SkyMavisHQ,1
22,,ApeironNFT,1
23,,AxieInfinity,1
24,,AxieChampions,1
25,,playwildforest,1
26,,bowleddotio,1
27,,CyberKongz,1
28,,themachinesgame,1
29,,Jihoz_Axie,1
30,,TriballyGames,1
31,,TribestersWorld,1
32,,complete,1
33,,list,1
34,,links,1
35,,join,1
36,,exclusive,1
37,,Telegram,1
38,,group,1
39,,find,1
40,,REAL,1
41,,TIME,1
42,,Web3,1
43,,gaming,1
44,,alpha,1
45,,wxRfK89CoZ,1
46,,Bulletin,1
47,,largest,1
48,,increase,1
49,,active,1
50,,addresses,1
51,,2nd,1
52,,straight,1
53,,month,1
54,,DAU,1
55,,585k,1
56,,Apeiron,1
57,,goes,1
58,,live,1
59,,Mavis,1
60,,Hub,1
61,,SLP,1
62,,Monetary,1
63,,Policy,1
64,,updated,1
65,,Read,1
66,,cDZSVQjg9t,1
