,profiles,kw,count
0,thecyptowonk,end,4
1,,go,3
2,,RT,2
3,,OmniBotX,2
4,,Os,2
5,,front,2
6,,ticker,2
7,,beginning,2
8,,unironically,2
9,,gonna,2
10,,big,2
11,,Nov,1
12,,powered,1
13,,StargateFinance,1
14,,linking,1
15,,multiple,1
16,,blockchains,1
17,,together,1
18,,integration,1
19,,doe,1
20,,crypto_condom,1
21,,Wen,1
22,,something,1
23,,comes,1
24,,along,1
25,,lines,1
26,,FA,1
27,,TA,1
28,,Narrative,1
29,,much,1
30,,safely,1
31,,everyone,1
32,,looking,1
33,,manta,1
34,,ONDO,1
35,,radar,1
36,,play,1
37,,day,1
38,,hmmm,1
