,profiles,kw,count
0,thelearningpill,RT,14
1,,SCRAMBLE,12
2,,co,7
3,,share,5
4,,rewards,5
5,,game,4
6,,theory,4
7,,Scramble,4
8,,ubi_online,3
9,,FI,3
10,,LBP,3
11,,Modular,3
12,,Blockchain,3
13,,Olympus,3
14,,gt,3
15,,Eggsperience,3
16,,upgrade,3
17,,LP,3
18,,larger,3
19,,set,2
20,,100M,2
21,,officially,2
22,,LyveFinance,2
23,,moment,2
24,,ndhk8O1emC,2
25,,0xGoldenDegen,2
26,,future,2
27,,Cakepiexyz_io,2
28,,big,2
29,,XTLaunchpad,2
30,,SCRAMBLing,2
31,,gains,2
32,,Last,2
33,,cycle,2
34,,another,2
35,,innovative,2
36,,Eggsperimental,2
37,,maximise,2
38,,Initial,2
39,,daily,2
40,,upgrades,2
41,,rate,2
42,,WHITE,2
43,,YOLK,2
44,,cook,2
45,,points,2
46,,yield,2
47,,based,2
48,,vault,2
49,,pool,2
50,,gm,1
51,,UBsters,1
52,,charts,1
53,,looking,1
54,,bad,1
55,,UYYoZQBxqY,1
56,,ZKitty_DAO,1
57,,first,1
58,,LIVE,1
59,,Airdrop,1
60,,Farming,1
61,,Workshop,1
62,,kicks,1
63,,tomorrow,1
64,,already,1
65,,know,1
66,,Golden,1
67,,Age,1
68,,Well,1
69,,summarized,1
70,,long,1
71,,form,1
72,,Probably,1
73,,hit,1
74,,MC,1
75,,soon,1
76,,EscapeTheWage,1
77,,buy,1
78,,question,1
79,,many,1
80,,may,1
81,,asking,1
82,,ticker,1
83,,comes,1
84,,across,1
85,,Twitter,1
86,,time,1
87,,magpiexyz_io,1
88,,Magpie,1
89,,Ecosystem,1
90,,begun,1
91,,receiving,1
92,,STIP,1
93,,Grant,1
94,,stream,1
95,,arbitrum,1
96,,platform,1
97,,distribute,1
98,,Finally,1
99,,arrived,1
100,,started,1
101,,Go,1
102,,participate,1
103,,think,1
104,,10x,1
105,,100x,1
106,,tech,1
107,,Lyvers,1
108,,alarms,1
109,,hours,1
110,,left,1
111,,Fjord,1
112,,Curated,1
113,,starts,1
114,,reaso,1
115,,Cakepie,1
116,,voting,1
117,,power,1
118,,million,1
119,,veCAKE,1
120,,shared,1
121,,total,1
122,,vlCKP,1
123,,allocated,1
124,,bribery,1
125,,PinkBrains_io,1
126,,missed,1
127,,Giant,1
128,,TIA,1
129,,retaking,1
130,,next,1
131,,figure,1
132,,opportunity,1
133,,eigenlayer,1
134,,XT,1
135,,MatchFinance,1
136,,waiting,1
137,,MATCH,1
138,,TGE,1
139,,begin,1
140,,minutes,1
141,,Token,1
142,,Contract,1
143,,0xe0DcB3E0,1
144,,XTexchange,1
145,,miss,1
146,,UBN,1
147,,IEO,1
148,,Time,1
149,,Jan,1
150,,UTC,1
151,,Th,1
152,,thelearningpill,1
153,,ScrambleFin,1
154,,Thanks,1
155,,reading,1
156,,till,1
157,,end,1
158,,forget,1
159,,give,1
160,,follow,1
161,,find,1
162,,projects,1
163,,Appreciate,1
164,,others,1
165,,Bookmark,1
166,,reference,1
167,,monosarin,1
168,,francescoweb3,1
169,,NNovaDefi,1
170,,Slappjakke,1
171,,Louround_,1
172,,OvrCldJonny,1
173,,CryptoKoryo,1
174,,poopmandefi,1
175,,Defi0xJeff,1
176,,splinter0n,1
177,,DOLAK1NG,1
178,,CryptoNikyous,1
179,,0xShinChannn,1
180,,dontbuytops,1
181,,Haylesdefi,1
182,,Cryptoalpharian,1
183,,TheDeFISaint,1
184,,AlphaCryptOmega,1
185,,blocmatesdotcom,1
186,,CryptoGirlNova,1
187,,MercyDeGreat,1
188,,schizoxbt,1
189,,chilla_ct,1
190,,2lambro,1
191,,Subli_Defi,1
192,,DeFiMinty,1
193,,arndxt_xo,1
194,,jake_pahor,1
195,,nobrainflip,1
196,,0xAndrewMoh,1
197,,Deebs_DeFi,1
198,,0xsurferboy,1
199,,crypto_linn,1
200,,CryptoShiro_,1
201,,CryptoGideon_,1
202,,0xSalazar,1
203,,Only1temmy,1
204,,ayyyeandy,1
205,,Conclusion,1
206,,finance,1
207,,fun,1
208,,experimental,1
209,,mechanics,1
210,,combines,1
211,,gamification,1
212,,human,1
213,,nature,1
214,,sure,1
215,,users,1
216,,crack,1
217,,brains,1
218,,come,1
219,,optimum,1
220,,strategy,1
221,,yields,1
222,,seen,1
223,,forks,1
224,,grow,1
225,,Finance,1
226,,raised,1
227,,liquidity,1
228,,via,1
229,,FjordFoundry,1
230,,public,1
231,,liq,1
232,,team,1
233,,Tokenomics,1
234,,supply,1
235,,emission,1
236,,w,1
237,,dynamic,1
238,,debase,1
239,,ranges,1
240,,adjustable,1
241,,dev,1
242,,Staking,1
243,,enables,1
244,,collect,1
245,,turn,1
246,,allows,1
247,,make,1
248,,practice,1
249,,better,1
250,,earn,1
251,,use,1
252,,cooking,1
253,,Quantity,1
254,,XP,1
255,,bU8JvptBgU,1
256,,Collecting,1
257,,boring,1
258,,everyone,1
259,,making,1
260,,protocol,1
261,,upscale,1
262,,converter,1
263,,accumulate,1
264,,ETH,1
265,,staking,1
266,,reflection,1
267,,system,1
268,,distributed,1
269,,stakers,1
270,,Similarly,1
271,,Making,1
272,,maker,1
273,,combined,1
274,,5t6xDEGh9e,1
275,,ScrambleFinance,1
276,,Eggscellent,1
277,,dive,1
278,,uqKx77uZ1I,1
