,profiles,kw,count
0,tokenterminal,RT,27
1,,tokenterminal,17
2,,co,17
3,,fundamentals,4
4,,leaderboard,4
5,,L2s,4
6,,amp,4
7,,rollup,4
8,,institutional,3
9,,fundamental,3
10,,ecosystem,3
11,,c,3
12,,new,3
13,,one,3
14,,platforms,3
15,,money,3
16,,episode,3
17,,fund,3
18,,economically,3
19,,aligned,3
20,,000s,3
21,,popping,3
22,,become,3
23,,means,3
24,,differentiation,3
25,,infra,3
26,,built,3
27,,nom,3
28,,simple,2
29,,thesis,2
30,,grow,2
31,,importance,2
32,,investors,2
33,,enter,2
34,,crypto,2
35,,market,2
36,,Looking,2
37,,analysis,2
38,,ethereum,2
39,,Look,2
40,,gLuniWypKp,2
41,,tt_intern,2
42,,track,2
43,,metrics,2
44,,ShoebillFinance,2
45,,onchain,2
46,,data,2
47,,L2,2
48,,apps,2
49,,invest,2
50,,support,2
51,,high,2
52,,world,2
53,,FTI_US,2
54,,L1s,2
55,,develop,2
56,,RaaS,2
57,,conduitxyz,2
58,,make,2
59,,two,2
60,,ways,2
61,,SaaS,2
62,,model,2
63,,operations,2
64,,DAOs,2
65,,JustDeauIt,2
66,,trading,2
67,,building,2
68,,BlackRock,2
69,,Chain,2
70,,TVL,2
71,,trillion,2
72,,geographically,2
73,,distributed,2
74,,validators,2
75,,using,2
76,,cosmos,2
77,,SDK,2
78,,Rides,2
79,,beyond,2
80,,Uber,2
81,,entering,2
82,,eigenlayer,2
83,,era,2
84,,tapping,2
85,,decentralized,2
86,,trust,2
87,,network,2
88,,5m,2
89,,drivers,2
90,,across,2
91,,networks,2
92,,rollups,2
93,,T1FrlC3SKc,1
94,,minute,1
95,,contrast,1
96,,prior,1
97,,interviews,1
98,,decided,1
99,,dive,1
100,,HoldstationW,1
101,,DeFutures,1
102,,mFOXyPos4b,1
103,,Shoebill,1
104,,Finance,1
105,,listed,1
106,,trustworthy,1
107,,blockchai,1
108,,yXoilfQaBK,1
109,,wen,1
110,,L1,1
111,,loyalty,1
112,,bribes,1
113,,build,1
114,,within,1
115,,chain,1
116,,people,1
117,,result,1
118,,NEED,1
119,,DATA,1
120,,motivate,1
121,,investment,1
122,,decisions,1
123,,zJ1cOcTVml,1
124,,BrainsyEth,1
125,,weekly,1
126,,reminder,1
127,,GMX,1
128,,still,1
129,,near,1
130,,arbitrum,1
131,,criminally,1
132,,undervalued,1
133,,Fundamentals,1
134,,podcast,1
135,,time,1
136,,pleasure,1
137,,hosting,1
138,,Michael,1
139,,Nadeau,1
140,,founder,1
141,,Norway,1
142,,Government,1
143,,Pension,1
144,,Global,1
145,,AUM,1
146,,largest,1
147,,ow,1
148,,outside,1
149,,BTC,1
150,,ETH,1
151,,SOL,1
152,,massive,1
153,,potential,1
154,,continuing,1
155,,monitor,1
156,,netw,1
157,,gt,1
158,,companies,1
159,,run,1
160,,businesses,1
161,,contractual,1
162,,terms,1
163,,service,1
164,,selling,1
165,,available,1
166,,charge,1
167,,customers,1
168,,e,1
169,,teams,1
170,,running,1
171,,availability,1
172,,sequencers,1
173,,autoscaling,1
174,,RPC,1
175,,nodes,1
176,,pre,1
177,,utilities,1
178,,etc,1
179,,3AbbUjVbIg,1
180,,Episode,1
181,,Rundown,1
182,,live,1
183,,week,1
184,,go,1
185,,assess,1
186,,zksync,1
187,,became,1
188,,fastest,1
189,,growing,1
190,,Ether,1
191,,ceterispar1bus,1
192,,successfully,1
193,,bring,1
194,,back,1
195,,icos,1
196,,less,1
197,,memecoin,1
198,,increase,1
199,,chances,1
200,,useful,1
201,,mleinweber2,1
202,,venture,1
203,,capitalists,1
204,,engage,1
205,,index,1
206,,performing,1
207,,impressively,1
208,,compar,1
209,,b1ackd0g,1
210,,2c,1
211,,Rust,1
212,,bright,1
213,,future,1
214,,systems,1
215,,programming,1
216,,language,1
217,,designed,1
218,,Ethereum,1
219,,scaling,1
220,,Moore,1
221,,Law,1
222,,playing,1
223,,right,1
224,,eyes,1
225,,need,1
226,,dig,1
227,,see,1
228,,Ca,1
229,,l,1
230,,Isaiah92653106,1
231,,Dmailofficial,1
232,,TOP,1
233,,projects,1
234,,180D,1
235,,Transactions,1
236,,zkSyncEra,1
237,,Data,1
238,,rankings,1
239,,dept,1
240,,CryptoHayes,1
241,,love,1
242,,eating,1
243,,fees,1
244,,volatile,1
245,,markets,1
246,,bJ8SaeIsxs,1
247,,0AidMntglr,1
248,,RWgp1TIuN0,1
249,,Full,1
250,,ueH8AKQb0W,1
251,,located,1
252,,cities,1
253,,Great,1
254,,twistartups,1
255,,YgFaRA0xyx,1
256,,team,1
257,,loaded,1
258,,developers,1
259,,multiple,1
260,,w,1
261,,WK73FE1Cov,1
262,,boring,1
263,,predictions,1
264,,appchains,1
265,,launch,1
266,,frenscapital,1
267,,Despite,1
268,,lots,1
269,,noise,1
270,,sectors,1
271,,incontestable,1
272,,PMF,1
273,,consistently,1
274,,DEXs,1
275,,first,1
276,,th,1
277,,Y2hGx8SGBb,1
278,,sh9w1KRMqb,1
279,,marketing,1
280,,t8JRAznQBe,1
281,,LnXjqS3QVJ,1
