,profiles,kw,count
0,trader_koala,co,15
1,,BTC,8
2,,think,6
3,,care,3
4,,DYDX,3
5,,really,3
6,,Looking,2
7,,42k,2
8,,everyone,2
9,,yes,2
10,,try,2
11,,selling,2
12,,much,2
13,,hold,2
14,,price,2
15,,nuke,2
16,,happens,2
17,,long,2
18,,higher,2
19,,ALTS,2
20,,SEI,1
21,,stop,1
22,,run,1
23,,coming,1
24,,Bidding,1
25,,order,1
26,,block,1
27,,oGv4Fm4Ig0,1
28,,TP'd,1
29,,goes,1
30,,50k,1
31,,interested,1
32,,roundtripping,1
33,,nice,1
34,,weekend,1
35,,trading,1
36,,moving,1
37,,averages,1
38,,trap,1
39,,using,1
40,,confluence,1
41,,alpha,1
42,,40k,1
43,,pivotal,1
44,,level,1
45,,lose,1
46,,eventually,1
47,,want,1
48,,knife,1
49,,catch,1
50,,LINK,1
51,,Range,1
52,,expansion,1
53,,soon,1
54,,tvg8HOdCCu,1
55,,Kx6ZQnQOYt,1
56,,literally,1
57,,bulls,1
58,,glad,1
59,,see,1
60,,longed,1
61,,Lines,1
62,,Boxes,1
63,,Key,1
64,,Levels,1
65,,CT,1
66,,Sentiment,1
67,,need,1
68,,trade,1
69,,crypto,1
70,,hopium,1
71,,believe,1
72,,l06ysuSCjM,1
73,,send,1
74,,exe,1
75,,H3i0iu9gNu,1
76,,Continues,1
77,,support,1
78,,biggest,1
79,,spot,1
80,,bag,1
81,,Pain,1
82,,hope,1
83,,worth,1
84,,ztuTpffTKg,1
85,,xY5J30jT0G,1
86,,cZQpp1ZQky,1
87,,Barry,1
88,,needs,1
89,,sell,1
90,,going,1
91,,let,1
92,,giga,1
93,,gets,1
94,,bad,1
95,,exit,1
96,,probably,1
97,,done,1
98,,Going,1
99,,swing,1
100,,current,1
101,,44k,1
102,,TP'ing,1
103,,increments,1
104,,43k,1
105,,Still,1
106,,HTF,1
107,,bearish,1
108,,go,1
109,,5CNCTtmWOL,1
110,,magical,1
111,,week,1
112,,play,1
113,,move,1
114,,imagine,1
115,,stops,1
116,,annoying,1
117,,yZRlaEtzeN,1
118,,SOL,1
119,,reclaim,1
120,,ride,1
121,,Koala,1
122,,Box,1
123,,WWrT6ew3Tl,1
124,,ETH,1
125,,means,1
126,,pullback,1
127,,mostly,1
128,,bears,1
129,,fucked,1
130,,Simple,1
131,,QJdk7CbU6l,1
132,,Cut,1
133,,longs,1
134,,break,1
135,,bullish,1
136,,structure,1
137,,daily,1
138,,Sitting,1
139,,weekly,1
140,,close,1
141,,wNSzhePX71,1
142,,AEJo18CXAS,1
143,,Time,1
144,,reveals,1
145,,c6Kp1dbftj,1
