,profiles,kw,count
0,trading_axe,co,18
1,,Remilio,9
2,,nigga,5
3,,even,4
4,,one,4
5,,really,4
6,,guy,4
7,,soon,3
8,,Trump,3
9,,post,3
10,,term,3
11,,fucking,3
12,,Axe,3
13,,jokes,3
14,,time,3
15,,TIA,3
16,,becoming,2
17,,came,2
18,,see,2
19,,FUCK,2
20,,Barry,2
21,,thought,2
22,,Fuck,2
23,,shit,2
24,,know,2
25,,starts,2
26,,Pre,2
27,,buy,2
28,,crypto,2
29,,want,2
30,,long,2
31,,today,2
32,,LARGE,2
33,,Ventures,2
34,,finger,2
35,,Franklin,2
36,,TERRIFIED,2
37,,power,2
38,,prices,2
39,,LMFAO,2
40,,Vivek,2
41,,overthinking,2
42,,right,2
43,,day,2
44,,Coinbase,2
45,,INJ,2
46,,goes,2
47,,consolidate,2
48,,ETH,2
49,,WORD,2
50,,Inside,2
51,,ONDO,1
52,,CTDRyhEGrP,1
53,,TOTALLY,1
54,,UNPREPARED,1
55,,Nikki,1
56,,Haley,1
57,,Donald,1
58,,Vice,1
59,,President,1
60,,surprised,1
61,,truth,1
62,,cheated,1
63,,husband,1
64,,thousand,1
65,,cock,1
66,,stare,1
67,,eyes,1
68,,HIGH,1
69,,knows,1
70,,27S9CaUEIT,1
71,,happy,1
72,,Silbert,1
73,,somehow,1
74,,survived,1
75,,made,1
76,,comeback,1
77,,delighted,1
78,,done,1
79,,ZEC,1
80,,shill,1
81,,Colour,1
82,,shocked,1
83,,need,1
84,,hear,1
85,,ETC,1
86,,bag,1
87,,longer,1
88,,Oh,1
89,,noooo,1
90,,fucked,1
91,,dJHvO2rmPl,1
92,,Last,1
93,,put,1
94,,Nathan,1
95,,Blast,1
96,,L2,1
97,,talgenbout,1
98,,Real,1
99,,RAP,1
100,,getting,1
101,,early,1
102,,SBF,1
103,,vibes,1
104,,sell,1
105,,putting,1
106,,weight,1
107,,4yfjbmrO93,1
108,,big,1
109,,supporter,1
110,,Rich,1
111,,wrong,1
112,,fantastic,1
113,,Honestly,1
114,,good,1
115,,Catchy,1
116,,Phenomenal,1
117,,drawn,1
118,,towards,1
119,,BlackRock,1
120,,blessing,1
121,,things,1
122,,World,1
123,,Elite,1
124,,took,1
125,,8jELvBQgj1,1
126,,probably,1
127,,end,1
128,,deleting,1
129,,INCREDIBLE,1
130,,PIECE,1
131,,ALPHA,1
132,,attentive,1
133,,viewers,1
134,,benefit,1
135,,ran,1
136,,numbers,1
137,,SEVERAL,1
138,,TIMES,1
139,,success,1
140,,rate,1
141,,LONGING,1
142,,BLINDLY,1
143,,Trader,1
144,,XO,1
145,,takes,1
146,,page,1
147,,private,1
148,,UMjNaW44CE,1
149,,Ok,1
150,,haha,1
151,,jig,1
152,,sold,1
153,,coordinated,1
154,,FINAL,1
155,,SHAKEOUT,1
156,,muscular,1
157,,shaking,1
158,,telling,1
159,,everyone,1
160,,decided,1
161,,wake,1
162,,RANDOMLY,1
163,,SELL,1
164,,special,1
165,,HA,1
166,,PESTERED,1
167,,NONSTOP,1
168,,mean,1
169,,protocols,1
170,,strategically,1
171,,partner,1
172,,brand,1
173,,created,1
174,,Hey,1
175,,Dr,1
176,,got,1
177,,MILLIONS,1
178,,funding,1
179,,secured,1
180,,Pantera,1
181,,Capital,1
182,,Binance,1
183,,Labs,1
184,,CB,1
185,,working,1
186,,RNo9xI3y06,1
187,,think,1
188,,coincidence,1
189,,random,1
190,,wicked,1
191,,WIF,1
192,,chart,1
193,,dollars,1
194,,fat,1
195,,hat,1
196,,called,1
197,,insider,1
198,,positioning,1
199,,catalyst,1
200,,trust,1
201,,HaMaUQc4NS,1
202,,pathetic,1
203,,NERDS,1
204,,JEETED,1
205,,tweet,1
206,,Inshallah,1
207,,higher,1
208,,back,1
209,,jeetings,1
210,,XAR9EDZOvo,1
211,,said,1
212,,Hsaka,1
213,,steroids,1
214,,many,1
215,,laughed,1
216,,fact,1
217,,large,1
218,,amount,1
219,,Ahhh,1
220,,capping,1
221,,timeline,1
222,,Haha,1
223,,dewd,1
224,,funny,1
225,,Look,1
226,,possess,1
227,,PhD,1
228,,journalists,1
229,,writing,1
230,,836pyaR3G2,1
231,,trader,1
232,,𝑺𝑼𝑷𝑬𝑹𝑭𝑶𝑹𝑬𝑪𝑨𝑺𝑻𝑬𝑹,1
233,,Ohhhh,1
234,,Romerilio,1
