,profiles,kw,count
0,trdrtur,RT,3
1,,art_xbt,2
2,,trading,2
3,,project,2
4,,accounts,2
5,,getting,2
6,,co,2
7,,crypto,2
8,,value,2
9,,kitchen,1
10,,cooking,1
11,,looking,1
12,,decent,1
13,,invest,1
14,,next,1
15,,launching,1
16,,l,1
17,,see,1
18,,lots,1
19,,timeline,1
20,,celebrated,1
21,,high,1
22,,leverage,1
23,,positions,1
24,,uponly,1
25,,change,1
26,,bio,1
27,,ex,1
28,,poker,1
29,,pro,1
30,,3X289Bbr32,1
31,,Newslybot,1
32,,Newsly,1
33,,x,1
34,,Hyperliquid,1
35,,announcement,1
36,,chose,1
37,,HyperliquidX,1
38,,DEX,1
39,,integration,1
40,,due,1
41,,transparency,1
42,,se,1
43,,frens,1
44,,Hong,1
45,,Kong,1
46,,believe,1
47,,higher,1
48,,years,1
49,,choice,1
50,,instead,1
51,,dollar,1
52,,98sUTtcchR,1
