,profiles,kw,count
0,unizen_io,co,17
1,,ZCX,6
2,,DeFi,6
3,,RT,4
4,,Thank,4
5,,people,4
6,,p6RzrfdBEp,3
7,,YNW2MJ1xIS,3
8,,partner,3
9,,partnership,3
10,,next,2
11,,Zen,2
12,,Space,2
13,,detail,2
14,,Friday,2
15,,unizen_io,2
16,,special,2
17,,shoutout,2
18,,strategic,2
19,,DWFLabs,2
20,,hosting,2
21,,excellent,2
22,,conversations,2
23,,WCF_2030,2
24,,STRATEGIC,2
25,,announce,2
26,,bring,2
27,,excited,2
28,,team,2
29,,weekly,2
30,,telegram,2
31,,channel,2
32,,NEW,2
33,,Aggregators,2
34,,live,2
35,,CoinstoreExc,2
36,,space,2
37,,Special,2
38,,wait,1
39,,episode,1
40,,Weekly,1
41,,looking,1
42,,forward,1
43,,providing,1
44,,soon,1
45,,See,1
46,,come,1
47,,wFcaj2tuX1,1
48,,ng1tso9HY4,1
49,,ANNOUNCEMENT,1
50,,proud,1
51,,entered,1
52,,India,1
53,,preferred,1
54,,exchange,1
55,,coinDCX,1
56,,access,1
57,,via,1
58,,Okto_app,1
59,,wallet,1
60,,full,1
61,,details,1
62,,jjVF7WCwHx,1
63,,ppT4VBWZJW,1
64,,Greetings,1
65,,community,1
66,,share,1
67,,majority,1
68,,executive,1
69,,Sean,1
70,,CEO,1
71,,Simon,1
72,,HBD,1
73,,MK,1
74,,CMO,1
75,,Padgett,1
76,,L1,1
77,,Architect,1
78,,landed,1
79,,Davos,1
80,,Switzerland,1
81,,Monday,1
82,,meeting,1
83,,partners,1
84,,governments,1
85,,enterprises,1
86,,elsewhere,1
87,,3S3gUiUgOf,1
88,,GeeqOfficial,1
89,,Counting,1
90,,TVL,1
91,,protect,1
92,,blockchain,1
93,,attacks,1
94,,trying,1
95,,build,1
96,,higher,1
97,,wall,1
98,,Stop,1
99,,think,1
100,,bui,1
101,,matter,1
102,,fact,1
103,,covering,1
104,,exactly,1
105,,week,1
106,,Join,1
107,,great,1
108,,discussion,1
109,,January,1
110,,19th,1
111,,UTC,1
112,,forget,1
113,,submit,1
114,,questions,1
115,,official,1
116,,88bmkxIxEX,1
117,,trycarbonio,1
118,,PRODUCT,1
119,,LAUNCH,1
120,,Ek29g3IOa7,1
121,,M1z9LYIO8C,1
122,,Integrating,1
123,,Deposits,1
124,,pleased,1
125,,token,1
126,,begin,1
127,,trading,1
128,,tomorrow,1
129,,platform,1
130,,e7IjfCWLKX,1
131,,Progressively,1
132,,expanding,1
133,,reach,1
134,,supporting,1
135,,additional,1
136,,wallets,1
137,,LISTING,1
138,,COINSTORE,1
139,,Welcome,1
140,,Watch,1
141,,Official,1
142,,website,1
143,,A0,1
144,,everyone,1
145,,attending,1
146,,first,1
147,,instalment,1
148,,zen,1
149,,hosted,1
150,,TheLTONetwork,1
151,,making,1
152,,time,1
153,,attend,1
154,,guests,1
155,,Great,1
156,,conversation,1
157,,guys,1
158,,work,1
159,,comprehensive,1
160,,5lvJKsIoqS,1
