,profiles,kw,count
0,visionofviii,community,3
1,,ether,3
2,,co,3
3,,fixes,2
4,,hiccups,2
5,,launch,2
6,,RT,2
7,,work,2
8,,taking,1
9,,notes,1
10,,regarding,1
11,,peoples,1
12,,feedback,1
13,,schedule,1
14,,AMA,1
15,,shortly,1
16,,done,1
17,,introducing,1
18,,council,1
19,,prevent,1
20,,happening,1
21,,couple,1
22,,small,1
23,,issues,1
24,,bugs,1
25,,raids,1
26,,website,1
27,,update,1
28,,extremely,1
29,,grateful,1
30,,team,1
31,,assisting,1
32,,everything,1
33,,helping,1
34,,fix,1
35,,things,1
36,,worked,1
37,,currently,1
38,,deployed,1
39,,go,1
40,,time,1
41,,come,1
42,,bTFA91hOf9,1
43,,hello,1
44,,clock,1
45,,ticking,1
46,,bwhTdjhXuM,1
47,,storyboard,1
48,,direction,1
49,,compositing,1
50,,made,1
51,,weeks,1
52,,internally,1
53,,people,1
54,,still,1
55,,working,1
56,,refining,1
57,,flow,1
58,,style,1
59,,etc,1
60,,super,1
61,,fun,1
62,,per,1
63,,usual,1
64,,improve,1
65,,next,1
66,,9iR9q1vt7k,1
