,profiles,kw,count
0,worldcoin,co,7
1,,RT,3
2,,worldcoin,2
3,,FWBtweets,2
4,,FWB,2
5,,Worldcoin,2
6,,World,2
7,,human,2
8,,unique,2
9,,Optimism,1
10,,Love,1
11,,frens,1
12,,cook,1
13,,together,1
14,,jAHDmme3ps,1
15,,starts,1
16,,y37ebUZgez,1
17,,x,1
18,,present,1
19,,𝓣𝓱𝓮,1
20,,𝓟𝓪𝓻𝓪𝓭𝓸𝔁,1
21,,𝓸𝓯,1
22,,𝓟𝓮𝓻𝓼𝓸𝓷𝓱𝓸𝓸𝓭,1
23,,Feria,1
24,,Material,1
25,,CDMX,1
26,,collaboration,1
27,,addres,1
28,,HcnCCJZa1X,1
29,,tfh_technology,1
30,,continuing,1
31,,add,1
32,,languages,1
33,,App,1
34,,make,1
35,,experience,1
36,,even,1
37,,better,1
38,,L5jWy9JfA2,1
39,,Thank,1
40,,helping,1
41,,build,1
42,,digital,1
43,,economy,1
44,,million,1
45,,beginning,1
46,,oBWHf92Dzl,1
47,,ID,1
48,,gem,1
49,,verified,1
50,,MST5xRFCFf,1
51,,Learn,1
52,,2zRvp2TSgM,1
53,,access,1
54,,granted,1
55,,freely,1
56,,humans,1
57,,without,1
58,,identification,1
59,,requirements,1
