,profiles,kw,count
0,wsbmod,co,17
1,,Bitcoin,4
2,,last,3
3,,BlackRock,3
4,,Spirit,3
5,,Nurse,2
6,,years,2
7,,Man,2
8,,amp,2
9,,P,2
10,,stocks,2
11,,back,2
12,,Larry,2
13,,TradFi,2
14,,check,2
15,,crypto,2
16,,one,2
17,,Airlines,2
18,,Wake,1
19,,coma,1
20,,Great,1
21,,miss,1
22,,anything,1
23,,LFACdH29pW,1
24,,hit,1
25,,new,1
26,,time,1
27,,high,1
28,,Meme,1
29,,40k,1
30,,really,1
31,,Tech,1
32,,CEOs,1
33,,gave,1
34,,presentations,1
35,,VqiRt6txKd,1
36,,natural,1
37,,beauty,1
38,,cities,1
39,,stunning,1
40,,TwisIVX4UY,1
41,,Boeing,1
42,,caught,1
43,,fire,1
44,,night,1
45,,taking,1
46,,Miami,1
47,,DqnzYO77cP,1
48,,imagine,1
49,,Franklin,1
50,,Templeton,1
51,,intern,1
52,,farming,1
53,,ondo,1
54,,points,1
55,,lol,1
56,,probably,1
57,,good,1
58,,farm,1
59,,though,1
60,,sees,1
61,,value,1
62,,tokenization,1
63,,much,1
64,,interest,1
65,,transacting,1
66,,chain,1
67,,significantly,1
68,,enters,1
69,,space,1
70,,want,1
71,,support,1
72,,native,1
73,,projects,1
74,,building,1
75,,lt,1
76,,gt,1
77,,defi,1
78,,rails,1
79,,Ondo,1
80,,btw,1
81,,already,1
82,,tokenized,1
83,,ETFs,1
84,,yiz9cWBjkr,1
85,,SBXU8q27XW,1
86,,wife,1
87,,keep,1
88,,explaining,1
89,,hedge,1
90,,funds,1
91,,manipulate,1
92,,securities,1
93,,dark,1
94,,pools,1
95,,q25gsClcL8,1
96,,Guys,1
97,,setup,1
98,,portfolio,1
99,,cMfRkhv1Zh,1
100,,knows,1
101,,mute,1
102,,right,1
103,,QUuooANEO4,1
104,,ETF,1
105,,first,1
106,,billion,1
107,,inflows,1
108,,activate,1
109,,slo,1
110,,mode,1
111,,TsTHlF9EWW,1
112,,stock,1
113,,today,1
114,,losing,1
115,,yesterday,1
116,,situation,1
117,,dire,1
118,,shareholders,1
119,,may,1
120,,start,1
121,,traveling,1
122,,save,1
123,,money,1
124,,1mQwNKp55Z,1
125,,literally,1
126,,put,1
127,,hat,1
128,,happened,1
129,,simply,1
130,,bet,1
131,,entire,1
132,,net,1
133,,worth,1
134,,Ants,1
135,,win,1
136,,world,1
137,,series,1
138,,mate,1
139,,LhoT93gcFD,1
140,,Michael,1
141,,Saylor,1
142,,fighting,1
143,,4WIMATMahV,1
144,,RT,1
145,,EricBalchunas,1
146,,ddA7Syolmv,1
147,,Institutions,1
148,,rushing,1
149,,calling,1
150,,fraud,1
151,,9W2Cd3jjrU,1
152,,found,1
153,,18m,1
154,,bitcoin,1
155,,ledger,1
156,,forgotten,1
157,,DMcTde7PkV,1
158,,lived,1
159,,winters,1
160,,worse,1
161,,bYPCViTG68,1
