,profiles,kw,count
0,zano_project,15th,3
1,,Zano,2
2,,hard,2
3,,fork,2
4,,New,2
5,,release,2
6,,Feb,2
7,,date,2
8,,co,2
9,,data,2
10,,choose,2
11,,RT,1
12,,ZanoAfrica,1
13,,Introducing,1
14,,ZanoBazaar,1
15,,first,1
16,,project,1
17,,built,1
18,,ecosystem,1
19,,using,1
20,,marketplace,1
21,,API,1
22,,ZanoBazaa,1
23,,Dear,1
24,,zAnons,1
25,,extremely,1
26,,hyped,1
27,,share,1
28,,update,1
29,,rollout,1
30,,revolutionary,1
31,,upcoming,1
32,,Zarcanum,1
33,,binary,1
34,,March,1
35,,Restart,1
36,,testnet,1
37,,decoy,1
38,,selection,1
39,,GEq2Fvo64N,1
40,,able,1
41,,selectively,1
42,,reveal,1
43,,personal,1
44,,transparent,1
45,,blockchain,1
46,,unusable,1
47,,due,1
48,,lack,1
49,,fungibility,1
50,,ZANO,1
51,,remains,1
52,,confidential,1
53,,default,1
54,,unless,1
55,,decide,1
56,,ETH,1
57,,Privacy,1
58,,qSV7TMI2IY,1
