,profiles,kw,count
0,zerion,RT,3
1,,co,3
2,,Socket,3
3,,wallet,2
4,,SocketDotTech,2
5,,affected,2
6,,contract,2
7,,Try,1
8,,Bebop,1
9,,beta,1
10,,Zerion,1
11,,0xLZD,1
12,,Thanks,1
13,,zerion,1
14,,xvLsBR4BsF,1
15,,open,1
16,,actually,1
17,,green,1
18,,IPXPd3u7yF,1
19,,Set,1
20,,calendar,1
21,,today,1
22,,PM,1
23,,UTC,1
24,,Urgent,1
25,,experienced,1
26,,security,1
27,,incident,1
28,,wallets,1
29,,infinite,1
30,,approvals,1
31,,contracts,1
32,,recently,1
33,,became,1
34,,aware,1
35,,exploit,1
36,,affecting,1
37,,BungeeExchange,1
38,,users,1
39,,moment,1
40,,looks,1
41,,hack,1
42,,contained,1
43,,paused,1
44,,meantime,1
45,,recommend,1
46,,revoking,1
47,,access,1
48,,following,1
49,,address,1
50,,via,1
51,,evgeth_,1
52,,exploited,1
53,,right,1
54,,revoke,1
55,,0x3a23f943181408eac424116af7b7790c94cb97a5,1
56,,ASAP,1
57,,mdF9j47Rtc,1
58,,Share,1
59,,recent,1
60,,NFT,1
61,,comments,1
