,profiles,kw,count
0,zezima233,ETF,12
1,,co,11
2,,RT,8
3,,BTC,4
4,,btc,3
5,,market,3
6,,bitcoin,2
7,,Grayscale,2
8,,Eth,2
9,,rotation,2
10,,w,2
11,,guys,2
12,,gonna,2
13,,watching,2
14,,Canada,2
15,,selling,2
16,,take,2
17,,cat,2
18,,long,2
19,,received,2
20,,good,2
21,,slice,2
22,,three,2
23,,day,2
24,,weekend,2
25,,Blackrock,2
26,,cold,2
27,,calling,2
28,,single,2
29,,phone,2
30,,rolodex,2
31,,asking,2
32,,cheques,2
33,,yeet,2
34,,coin,2
35,,hands,2
36,,Larry,2
37,,artsch00lreject,1
38,,puppets,1
39,,mn3K9upC1V,1
40,,Yes,1
41,,heard,1
42,,apt,1
43,,apartment,1
44,,interest,1
45,,Ondo,1
46,,condo,1
47,,Address,1
48,,tagged,1
49,,Trust,1
50,,deposited,1
51,,1k,1
52,,the_spice_must_flow,1
53,,fs9BqyhUO8,1
54,,2170cell,1
55,,right,1
56,,solana,1
57,,4lrPWHcwbC,1
58,,Franklin,1
59,,Templeton,1
60,,intern,1
61,,goated,1
62,,real,1
63,,believe,1
64,,even,1
65,,internship,1
66,,college,1
67,,buy,1
68,,bags,1
69,,10x,1
70,,higher,1
71,,talk,1
72,,bittersweet,1
73,,futures,1
74,,bearish,1
75,,Fut,1
76,,fundamentally,1
77,,different,1
78,,High,1
79,,spread,1
80,,amp,1
81,,fees,1
82,,large,1
83,,investor,1
84,,apeing,1
85,,size,1
86,,mainly,1
87,,small,1
88,,prop,1
89,,shops,1
90,,hedge,1
91,,biggest,1
92,,price,1
93,,discovery,1
94,,event,1
95,,zoom,1
96,,chill,1
97,,enjoy,1
98,,ride,1
99,,Last,1
100,,rant,1
101,,1min,1
102,,charts,1
103,,making,1
104,,ill,1
105,,Dropped,1
106,,space,1
107,,dude,1
108,,saying,1
109,,sell,1
110,,news,1
111,,Bois,1
112,,used,1
113,,work,1
114,,VC,1
115,,shariah,1
116,,compliant,1
117,,MENA,1
118,,region,1
119,,bad,1
120,,MGY0UzITuS,1
121,,Let,1
122,,break,1
123,,tiny,1
124,,500b,1
125,,Irrelevant,1
126,,little,1
127,,flows,1
128,,developing,1
129,,countries,1
130,,already,1
131,,nothing,1
132,,happened,1
133,,far,1
134,,truth,1
135,,largest,1
136,,China,1
137,,Korea,1
138,,Japan,1
139,,lmaooo,1
140,,keep,1
141,,rt'ing,1
142,,till,1
143,,comes,1
144,,true,1
145,,u,1
146,,got,1
147,,usdc,1
148,,zorro,1
149,,beam,1
150,,random,1
151,,post,1
152,,lost,1
153,,twitter,1
154,,ether,1
155,,sponsored,1
156,,binance,1
157,,cartel,1
158,,thanks,1
159,,Damn,1
160,,two,1
161,,awaited,1
162,,blockbuster,1
163,,airdrops,1
164,,month,1
165,,February,1
166,,Looking,1
167,,Barbie,1
168,,Oppenheimer,1
169,,double,1
170,,whammy,1
171,,1lkGWUvl7d,1
172,,stackhodler,1
173,,mikealfred,1
174,,actually,1
175,,bottle,1
176,,Chateau,1
177,,Ausone,1
178,,along,1
179,,handwritten,1
180,,apology,1
181,,Jack,1
182,,Bogle,1
183,,hi,1
184,,Zedzies,1
185,,slide,1
186,,ZFnQjJKAH2,1
187,,Gm,1
188,,laddies,1
189,,CME,1
190,,vols,1
191,,looking,1
192,,wants,1
193,,gigasend,1
194,,open,1
195,,today,1
196,,delete,1
197,,account,1
198,,roll,1
199,,dice,1
200,,caHkicgro1,1
201,,term,1
202,,bull,1
203,,thesis,1
204,,PSBxgq6pF9,1
205,,wait,1
206,,come,1
207,,billions,1
208,,people,1
209,,food,1
210,,pizza,1
211,,infinitely,1
212,,smaller,1
213,,pieces,1
214,,mine,1
215,,wtf,1
216,,micron,1
217,,bro,1
218,,STOP,1
219,,IM,1
220,,ALREADY,1
221,,ERECT,1
222,,zezima233,1
223,,IBI,1
224,,alokagrawal,1
225,,investors,1
226,,memo,1
227,,yet,1
228,,Crypto,1
229,,grift,1
230,,FTX,1
231,,shutting,1
232,,IBIT,1
233,,May,1
234,,god,1
235,,save,1
236,,bears,1
237,,GAK3JhFUU8,1
238,,HiroKennelly,1
239,,need,1
240,,UI,1
241,,memecoins,1
242,,shows,1
243,,green,1
244,,red,1
245,,soldiers,1
246,,battling,1
247,,rather,1
248,,candles,1
249,,chart,1
250,,omw,1
251,,peddle,1
252,,next,1
253,,shitter,1
254,,ponzi,1
255,,skooma,1
256,,unwilling,1
257,,members,1
258,,uupg_capital,1
259,,0xjune_,1
260,,y0TLWgr3UD,1
261,,fewture,1
262,,first,1
263,,bought,1
264,,decade,1
265,,ago,1
266,,January,1
267,,around,1
268,,spectacularly,1
269,,fail,1
270,,sold,1
271,,COBIE,1
272,,RIGHT,1
273,,risk,1
274,,sounding,1
275,,capo,1
276,,still,1
277,,think,1
278,,50k,1
279,,target,1
280,,maybe,1
281,,eom,1
282,,sellers,1
283,,xferring,1
284,,paperhanded,1
285,,crypto,1
286,,bros,1
287,,crusty,1
288,,shriveled,1
289,,trust,1
290,,bring,1
291,,us,1
292,,revanchist,1
293,,wealth,1
294,,GLJHAbJCpi,1
