,profiles,kw,count
0,zhusu,RT,8
1,,co,8
2,,OX,7
3,,Og5bh7pzIG,3
4,,网站已上线,3
5,,OXFUNHQ,3
6,,oxfun_cn,2
7,,oxen,2
8,,time,2
9,,1st,2
10,,zhusu,2
11,,USD,2
12,,launch,2
13,,earn,2
14,,如打不开请尝试,1
15,,dear,1
16,,moment,1
17,,waiting,1
18,,CX7D4mzode,1
19,,LIVE,1
20,,go,1
21,,EEz6WgDPYT,1
22,,马上一千粉丝了,1
23,,为了感谢大家耐心等待,1
24,,抽三个牛牛,1
25,,每人999个,1
26,,转发这个原推,1
27,,点赞,1
28,,评论,1
29,,就行,1
30,,Watched,1
31,,Detective,1
32,,Chinatown,1
33,,唐人街探案,1
34,,trilogy,1
35,,inside,1
36,,got,1
37,,hour,1
38,,tv,1
39,,week,1
40,,set,1
41,,Bangkok,1
42,,far,1
43,,best,1
44,,film,1
45,,series,1
46,,disagree,1
47,,Yet,1
48,,15m,1
49,,budget,1
50,,121m,1
51,,box,1
52,,office,1
53,,2nd,1
54,,63m,1
55,,544m,1
56,,3rd,1
57,,117m,1
58,,686m,1
59,,V1JeromeLoo,1
60,,今天全程听了,1
61,,的Space,1
62,,核心内容是,1
63,,发布了一个新产品,1
64,,bdFOgiherp,1
65,,预计明天上线,1
66,,在这个交易所里,1
67,,PNL都是OX计算,1
68,,现货只有OX,1
69,,和,1
70,,AOX,1
71,,你在这个交易所里赚钱了,1
72,,BTCdayu,1
73,,即将上线的新玩法,1
74,,经晚上的SAPCE,1
75,,听,1
76,,的讲解,1
77,,并之后再向,1
78,,0xSleepinRain,1
79,,讨教了一下,1
80,,大概就是一个,1
81,,类似OHM的机制,1
82,,新东西,1
83,,分几步,1
84,,一是新台平明天上线,1
85,,平台会有牛B的交易员入驻,1
86,,这个应该算是三箭的资源和老本,1
87,,votes,1
88,,Council,1
89,,herd',1
90,,deemed,1
91,,worthy,1
92,,first,1
93,,hours,1
94,,post,1
95,,diamondhandjs,1
96,,整,1
97,,周一晚上八点过来一起聊聊OX品牌升级和新产品发布,1
98,,以及ETF过后市场形势,1
99,,discussing,1
100,,new,1
101,,product,1
102,,market,1
103,,etf,1
104,,approval,1
105,,1月15日,1
106,,8点,1
107,,3ZsVPR71m1,1
108,,AMA,1
109,,days,1
110,,observant,1
111,,spotted,1
112,,u,1
113,,APY,1
114,,CX7D4myQnG,1
115,,that',1
