,profiles,kw,count
0,zolandinho,link,6
1,,co,5
2,,RT,2
3,,tokenization,2
4,,Balls,1
5,,tell,1
6,,legs,1
7,,day,1
8,,Fuck,1
9,,ES1ZAByzwI,1
10,,LyveFinance,1
11,,LYVE,1
12,,live,1
13,,c4X5N1JXS7,1
14,,aped,1
15,,age,1
16,,stinky,1
17,,Faded,1
18,,Agc,1
19,,comai,1
20,,ai,1
21,,written,1
22,,docs,1
23,,Big,1
24,,mistake,1
25,,lesson,1
26,,Ohh,1
27,,yeh,1
28,,2US37bYZcU,1
29,,select,1
30,,understand,1
31,,magnitude,1
32,,importance,1
33,,chainlink,1
34,,holds,1
35,,within,1
36,,space,1
37,,rewarded,1
38,,due,1
39,,time,1
40,,Black,1
41,,rock,1
42,,pushing,1
43,,tokenize,1
44,,assets,1
45,,demand,1
46,,flow,1
47,,answer,1
48,,realize,1
49,,yet,1
50,,NFA,1
51,,ChainLinkGod,1
52,,Let,1
53,,real,1
54,,BlackRock,1
55,,going,1
56,,launch,1
57,,platform,1
58,,public,1
59,,permissionless,1
60,,blockchain,1
61,,sleeping,1
62,,beast,1
63,,awaken,1
64,,eventually,1
65,,j9LYdpA5IH,1
66,,linkpuller,1
67,,LINK,1
68,,Mr,1
69,,Fink,1
70,,Blackrock,1
71,,explains,1
72,,RWA,1
73,,next,1
74,,technology,1
75,,already,1
76,,exists,1
77,,aware,1
78,,ch,1
79,,bomKeYt55C,1
