,cluster 1: profiles,cluster 1: kw,cluster 1: count
0,saylor,co,37
1,OpenAI,Bitcoin,18
2,coinbureau,crypto,5
3,,Money,4
4,,RWA,4
5,,AI,3
6,,new,3
7,,digital,3
8,,amp,3
9,,cover,3
10,,ETFs,3
11,,live,3
12,,well,3
13,,BTC,2
14,,takes,2
15,,generated,2
16,,asset,2
17,,Gold,2
18,,including,2
19,,nicrypto,2
20,,Enjoy,2
21,,see,2
22,,altcoin,2
23,,vid,2
24,,Great,2
25,,US,2
26,,intocryptoverse,2
27,,tokenisation,2
28,,really,2
29,,make,2
30,,latest,2
31,,think,2
32,,ETH,2
33,,projects,2
34,,selling,2
35,,Sui,2
36,,detail,2
37,,GST,2
38,,EST,2
39,,Polkadot,2
40,,talk,2
41,,Cyber,1
42,,Fire,1
43,,GByIpJCMZl,1
44,,Warning,1
45,,risk,1
46,,free,1
47,,way,1
48,,double,1
49,,bitcoin,1
50,,MicroStrategy,1
51,,give,1
52,,away,1
53,,scan,1
54,,barcode,1
55,,team,1
56,,fake,1
57,,YouTube,1
58,,videos,1
59,,day,1
60,,scammers,1
61,,keep,1
62,,launching,1
63,,trust,1
64,,verify,1
65,,gqZkQW02Ji,1
66,,Precision,1
67,,Work,1
68,,44Kt1sJH0z,1
69,,excellent,1
70,,review,1
71,,emergence,1
72,,class,1
73,,positive,1
74,,shift,1
75,,sentiment,1
76,,Wall,1
77,,Street,1
78,,growing,1
79,,appreciation,1
80,,global,1
81,,store,1
82,,value,1
83,,dee_bosa,1
84,,ZzWbDHo30a,1
85,,Half,1
86,,Life,1
87,,Forever,1
88,,Everyone,1
89,,wNEyz6Wo8H,1
90,,Everything,1
91,,Credit,1
92,,Protects,1
93,,eBMHvs9OUp,1
94,,encounter,1
95,,strange,1
96,,Pet,1
97,,Rock,1
98,,circulating,1
99,,blockchain,1
100,,nothing,1
101,,allow,1
102,,people,1
103,,something,1
104,,trade,1
105,,among,1
106,,without,1
107,,fear,1
