,profiles,kw,count
0,0xMantle,Mantle,19
1,,co,14
2,,NFT,6
3,,Ecosystem,6
4,,mETH,5
5,,mUSD,5
6,,Moonshot,4
7,,add,4
8,,trait,4
9,,USDY,4
10,,USDT,4
11,,EcoFund,4
12,,upgrade,3
13,,upgraded,3
14,,Protocol,3
15,,projects,3
16,,updates,2
17,,rewards,2
18,,Check,2
19,,next,2
20,,Week,2
21,,Jan,2
22,,Sepolia,2
23,,Testnet,2
24,,Upgrade,2
25,,L2,2
26,,Good,1
27,,news,1
28,,enjoyooors,1
29,,watch,1
30,,space,1
31,,upcoming,1
32,,Double,1
33,,Dose,1
34,,Drive,1
35,,KC6SAr13ZG,1
36,,days,1
37,,left,1
38,,Citizens,1
39,,Feb,1
40,,Snapshot,1
41,,hits,1
42,,via,1
43,,Armory,1
44,,sure,1
45,,process,1
46,,irreversible,1
47,,Z772SzHZCc,1
48,,wZIcQ3JOFt,1
49,,Purchase,1
50,,successfully,1
51,,marketplaces,1
52,,Element_Market,1
53,,mintleapp,1
54,,note,1
55,,receive,1
56,,single,1
57,,allocation,1
58,,max,1
59,,per,1
60,,token,1
61,,even,1
62,,multiple,1
63,,respective,1
64,,know,1
65,,ones,1
66,,spot,1
67,,bidding,1
68,,ckS5xLXeNT,1
69,,past,1
70,,300K,1
71,,capacity,1
72,,mark,1
73,,APY,1
74,,311K,1
75,,ETH,1
76,,staked,1
77,,LSP,1
78,,double,1
79,,dose,1
80,,soon,1
81,,VnSquaRqEx,1
82,,G1mdKLewQu,1
83,,available,1
84,,Bybit_Official,1
85,,following,1
86,,collab,1
87,,OndoFinance,1
88,,trade,1
89,,pairs,1
90,,Bybit,1
91,,Spot,1
92,,ix1wVHrxiu,1
93,,5rHL7xjzCC,1
94,,Updates,1
95,,joining,1
96,,big,1
97,,RIquNTfjcq,1
98,,folks,1
99,,see,1
100,,week,1
101,,weekend,1
102,,taking,1
103,,VBpdZ0N2L7,1
104,,Speed,1
105,,highlights,1
106,,happened,1
107,,Launch,1
108,,New,1
109,,prep,1
110,,v2,1
111,,bringing,1
112,,Seamless,1
113,,Compatibility,1
114,,OP,1
115,,Stack,1
116,,amp,1
117,,Bedrock,1
118,,Migration,1
119,,Native,1
120,,Tokens,1
121,,Meta,1
122,,Transactions,1
123,,Fee,1
124,,Optimization,1
125,,Strategy,1
126,,gFEvyIeHtK,1
127,,Journey,1
128,,Season,1
129,,Alpha,1
130,,ENDS,1
131,,thrilled,1
132,,move,1
133,,phase,1
134,,community,1
135,,meantime,1
136,,sit,1
137,,tight,1
138,,wait,1
139,,announcement,1
140,,5CelWHlztr,1
141,,Public,1
142,,Liaison,1
143,,IgneusTerrenus,1
144,,joined,1
145,,panel,1
146,,L1,1
147,,vs,1
148,,debate,1
149,,WCF_2030,1
150,,yesterday,1
151,,MantleinDavos,1
152,,icKxLJTLg2,1
153,,Total,1
154,,Deployed,1
155,,Inception,1
156,,10M,1
157,,committed,1
158,,fresh,1
159,,funding,1
160,,six,1
161,,MerchantMoe_xyz,1
162,,InitCapital_,1
163,,butterexchange,1
164,,RenzoProtocol,1
165,,Mufex_Official,1
166,,TsunamiFinance_,1
167,,prkqG1WqVS,1
168,,Mirana,1
169,,Ventures,1
170,,make,1
171,,second,1
172,,capital,1
173,,call,1
174,,30M,1
175,,accordance,1
176,,MIP,1
177,,invest,1
178,,new,1
179,,coming,1
180,,months,1
181,,Merchant,1
182,,Moe,1
183,,INIT,1
184,,Capital,1
185,,Butter,1
186,,Renzo,1
187,,MUFEX,1
188,,join,1
189,,top,1
190,,builders,1
191,,within,1
192,,integrating,1
193,,bolstering,1
194,,status,1
195,,yield,1
196,,powerhouse,1
