,profiles,kw,count
0,AfricanArchives,co,9
1,,know,5
2,,Clark,4
3,,black,4
4,,expedition,4
5,,page,4
6,,Lewis,3
7,,amp,3
8,,support,3
9,,invention,3
10,,sanitary,3
11,,RT,2
12,,AfricanArchives,2
13,,Everyone,2
14,,man,2
15,,part,2
16,,THREAD,2
17,,help,2
18,,Watch,2
19,,Night,2
20,,Service,2
21,,created,2
22,,Mississippi,2
23,,Mary,2
24,,world,2
25,,pads,2
26,,rejected,2
27,,enslaved,1
28,,William,1
29,,participated,1
30,,full,1
31,,member,1
32,,present,1
33,,reached,1
34,,Pacific,1
35,,Ocean,1
36,,zFFpuEbl0U,1
37,,statue,1
38,,York,1
39,,sculptor,1
40,,Ed,1
41,,Hamilton,1
42,,plaques,1
43,,commemorating,1
44,,Expedition,1
45,,participation,1
46,,stands,1
47,,Louisville,1
48,,Riverfront,1
49,,Plaza,1
50,,Belvedere,1
51,,next,1
52,,wharf,1
53,,Ohio,1
54,,River,1
55,,ySfBb6mEs4,1
56,,donations,1
57,,tips,1
58,,keep,1
59,,D0ZaB7YsCq,1
60,,hCAhd79zpJ,1
61,,History,1
62,,New,1
63,,Year,1
64,,Black,1
65,,communities,1
66,,traced,1
67,,back,1
68,,g,1
69,,Sesame,1
70,,Street,1
71,,originally,1
72,,brown,1
73,,inner,1
74,,city,1
75,,kids,1
76,,zZIYX0DOwj,1
77,,state,1
78,,commission,1
79,,refused,1
80,,air,1
81,,show,1
82,,integrated,1
83,,cast,1
84,,main,1
85,,characters,1
86,,Gordon,1
87,,Susan,1
88,,well,1
89,,adopted,1
90,,son,1
91,,refusal,1
92,,became,1
93,,national,1
94,,news,1
95,,reversed,1
96,,decision,1
97,,0wjbRqdOEq,1
98,,admin,1
99,,behind,1
100,,try,1
101,,research,1
102,,educate,1
103,,appreciate,1
104,,effort,1
105,,thrive,1
106,,BOP57vSwwg,1
107,,deeply,1
108,,appreciated,1
109,,follow,1
110,,articles,1
111,,v7bAQxKz6Q,1
112,,Beatrice,1
113,,Kenner,1
114,,apart,1
115,,changing,1
116,,feminine,1
117,,care,1
118,,belt,1
119,,forerunner,1
120,,invented,1
121,,Tissue,1
122,,Holder,1
123,,GabUSROwOh,1
124,,women,1
125,,used,1
126,,kinds,1
127,,reusable,1
128,,fabrics,1
129,,absorb,1
130,,menstrual,1
131,,flows,1
132,,initially,1
133,,first,1
134,,company,1
135,,showed,1
136,,interest,1
137,,racial,1
138,,discrimination,1
139,,choice,1
