,profiles,kw,count
0,Galxe,co,18
1,,Galxe,13
2,,web3,6
3,,chain,4
4,,Z,4
5,,Astronauts,3
6,,AI,3
7,,ZETA,3
8,,tasks,3
9,,Dive,3
10,,New,2
11,,Year,2
12,,part,2
13,,Beta,2
14,,today,2
15,,securing,2
16,,Shop,2
17,,new,2
18,,earn,2
19,,GAL,2
20,,back,2
21,,among,2
22,,claim,2
23,,OAT,2
24,,RT,2
25,,mint,2
26,,xdefi_wallet,2
27,,zetablockchain,2
28,,Complete,2
29,,across,2
30,,Connect,2
31,,exclusive,2
32,,GalxeOAT,2
33,,rWFk6zP6ap,2
34,,Claim,2
35,,rewards,2
36,,Key,2
37,,campaigns,2
38,,Join,2
39,,journey,2
40,,exciting,2
41,,Gm,1
42,,Resolution,1
43,,Time,1
44,,goals,1
45,,dreams,1
46,,Sound,1
47,,comments,1
48,,using,1
49,,everyday,1
50,,life,1
51,,Comment,1
52,,favorite,1
53,,tool,1
54,,know,1
55,,Yep,1
56,,heard,1
57,,us,1
58,,right,1
59,,Discover,1
60,,power,1
61,,impactful,1
62,,experience,1
63,,Pre,1
64,,testing,1
65,,version,1
66,,iOMQ72euoQ,1
67,,EhZBtXk1WE,1
68,,buckle,1
69,,WalletConnect,1
70,,gearing,1
71,,Web3Inbox,1
72,,release,1
73,,notifications,1
74,,way,1
75,,subscribe,1
76,,already,1
77,,aMXuoGVfee,1
78,,MW3,1
79,,Module,1
80,,putting,1
81,,keys,1
82,,funds,1
83,,hands,1
84,,Learn,1
85,,security,1
86,,partners,1
87,,Quantstamp,1
88,,protectmywallet,1
89,,iCch6wKuPQ,1
90,,jcyGPXRGis,1
91,,Waitlist,1
92,,Alert,1
93,,powered,1
94,,ShopMoso,1
95,,destination,1
96,,online,1
97,,shopping,1
98,,order,1
99,,first,1
100,,sign,1
101,,receive,1
102,,store,1
103,,yf4r4AkkEp,1
104,,AWl2yM6Bhj,1
105,,charleswayn,1
106,,biggest,1
107,,gain,1
108,,season,1
109,,users,1
110,,Congrats,1
111,,everyone,1
112,,First,1
113,,XAI_GAMES,1
114,,MantaNetwork,1
115,,alt_layer,1
116,,W,1
117,,wondered,1
118,,digital,1
119,,reputation,1
120,,Score,1
121,,forget,1
122,,Soulbound,1
123,,NFT,1
124,,Festival,1
125,,hqgOIA8sKQ,1
126,,DIqIqg7MfQ,1
127,,airdrop,1
128,,Introducing,1
129,,XDEFI,1
130,,ZetaZone,1
131,,th,1
132,,Wanna,1
133,,snag,1
134,,ForbesWeb3,1
135,,Digital,1
136,,Assets,1
137,,premium,1
138,,content,1
139,,free,1
140,,wallet,1
141,,unlock,1
142,,whole,1
143,,world,1
144,,rWPWvAJ5lx,1
145,,Meeting,1
146,,Vitalik,1
147,,Sign,1
148,,jumping,1
149,,lightning,1
150,,speed,1
151,,Optimism,1
152,,RetroPGF,1
153,,Initiative,1
154,,granted,1
155,,OP,1
156,,Big,1
157,,cheers,1
158,,team,1
159,,stellar,1
160,,achievement,1
161,,wzCLgpDiU8,1
162,,7QoezAWqWA,1
163,,share,1
164,,massive,1
165,,70K,1
166,,Become,1
167,,eligible,1
168,,acquiring,1
169,,completing,1
170,,collect,1
171,,NFTs,1
172,,community,1
173,,win,1
174,,amazing,1
175,,prizes,1
176,,fDLmJTqtx0,1
177,,available,1
178,,Chains,1
179,,JLOiJWoorw,1
180,,elevate,1
181,,crypto,1
182,,opportunities,1
183,,tech,1
184,,adventure,1
185,,latchwallet,1
186,,Latch,1
187,,Tester,1
188,,pioneers,1
189,,defining,1
190,,future,1
191,,smart,1
192,,accounts,1
193,,Let,1
194,,embark,1
195,,innovation,1
196,,together,1
197,,Happy,1
198,,Monday,1
199,,Twitter,1
200,,Space,1
201,,hinkal_protocol,1
202,,Jan,1
203,,6am,1
204,,UTC,1
205,,Set,1
206,,reminder,1
207,,c3BjiO57MS,1
208,,Explore,1
209,,multi,1
210,,privacy,1
211,,layer,1
212,,private,1
213,,transactions,1
214,,favourite,1
215,,dApps,1
216,,swaps,1
217,,liquidity,1
218,,provision,1
219,,staking,1
220,,amp,1
221,,yield,1
222,,farming,1
223,,participate,1
224,,1bzfKbZ0ku,1
