,profiles,kw,count
0,Morbidful,co,28
1,,life,9
2,,shows,6
3,,old,5
4,,killed,5
5,,Travis,5
6,,day,4
7,,fatally,4
8,,body,4
9,,year,4
10,,taking,4
11,,sentenced,4
12,,lost,4
13,,Nash,4
14,,taken,3
15,,New,3
16,,people,3
17,,pool,3
18,,footage,3
19,,Powell,3
20,,Photo,3
21,,Las,3
22,,Cruces,3
23,,shot,3
24,,court,3
25,,Vasa,3
26,,Charla,3
27,,Sri,2
28,,Lanka,2
29,,Easter,2
30,,Bombings,2
31,,three,2
32,,two,2
33,,occurred,2
34,,Footage,2
35,,bus,2
36,,one,2
37,,party,2
38,,lifeguards,2
39,,four,2
40,,found,2
41,,January,2
42,,ended,2
43,,following,2
44,,final,2
45,,Freddie,2
46,,police,2
47,,Harris,2
48,,brutally,2
49,,said,2
50,,prison,2
51,,Sagawa,2
52,,known,2
53,,Cannibal,2
54,,Japanese,2
55,,killing,2
56,,Hartevelt,2
57,,several,2
58,,tragically,2
59,,baptism,2
60,,bowling,2
61,,alley,2
62,,massacre,2
63,,officer,2
64,,pictured,2
65,,girl,2
66,,Tristyn,2
67,,Bailey,2
68,,Fucci,2
69,,Azaria,2
70,,Chamberlain,2
71,,family,2
72,,attacked,2
73,,recovered,2
74,,Jones,2
75,,video,2
76,,Peter,2
77,,bunker,2
78,,17th,2
79,,century,2
80,,Swedish,2
81,,ship,2
82,,years,2
83,,almost,2
84,,Pedro,2
85,,girlfriend,2
86,,book,2
87,,bullet,2
88,,penetrate,2
89,,friend,2
90,,injuries,2
91,,face,2
92,,call,2
93,,shoes,1
94,,John,1
95,,Wayne,1
96,,Gacy,1
97,,wore,1
98,,dressed,1
99,,Pogo,1
100,,Clown,1
101,,cy2lNuYIwi,1
102,,FHtRs7wHX0,1
103,,Statue,1
104,,Jesus,1
105,,Christ,1
106,,Sunday,1
107,,churches,1
108,,luxury,1
109,,hotels,1
110,,targeted,1
111,,series,1
112,,coordinated,1
113,,ISIS,1
114,,related,1
115,,terrorist,1
116,,suicide,1
117,,Later,1
118,,smaller,1
119,,explosions,1
120,,uNt4t1P0X7,1
121,,Syracuse,1
122,,York,1
123,,Neil,1
124,,Brownell,1
125,,smashing,1
126,,slammed,1
127,,accelerator,1
128,,instead,1
129,,break,1
130,,Unbelievably,1
131,,eight,1
132,,injured,1
133,,Centro,1
134,,hurt,1
135,,T7jyqQ8kaZ,1
136,,Orleans,1
137,,man,1
138,,drowned,1
139,,attended,1
140,,celebrating,1
141,,summer,1
142,,drownings,1
143,,finished,1
144,,cleaning,1
145,,fully,1
146,,clothed,1
147,,Jerome,1
148,,Moody,1
149,,bottom,1
150,,5PKTuen54l,1
151,,Pennsylvania,1
152,,Treasurer,1
153,,Budd,1
154,,Dwyer,1
155,,televised,1
156,,press,1
157,,conference,1
158,,guilty,1
159,,bribe,1
160,,scheduled,1
161,,moments,1
162,,pulling,1
163,,trigger,1
164,,L1oMhHhok6,1
165,,images,1
166,,Mercury,1
167,,lead,1
168,,singer,1
169,,Queen,1
170,,end,1
171,,denied,1
172,,rumours,1
173,,AIDS,1
174,,preferring,1
175,,avoid,1
176,,inevitable,1
177,,media,1
178,,circus,1
179,,passed,1
180,,released,1
181,,statement,1
182,,DHeV819OvW,1
183,,Bodycam,1
184,,conducting,1
185,,welfare,1
186,,check,1
187,,Amberly,1
188,,Tommy,1
189,,confessed,1
190,,murdering,1
191,,Authorities,1
192,,insurance,1
193,,policy,1
194,,hLJgC1sK4Y,1
195,,photographer,1
196,,Mike,1
197,,Wells,1
198,,took,1
199,,photograph,1
200,,Catholic,1
201,,missionary,1
202,,holding,1
203,,hand,1
204,,starving,1
205,,Ugandan,1
206,,boy,1
207,,y3kkMQYY1f,1
208,,Issei,1
209,,Kobe,1
210,,murderer,1
211,,necrophiliac,1
212,,Renée,1
213,,Paris,1
214,,murdered,1
215,,mutilated,1
216,,cannibalized,1
217,,performed,1
218,,necrophilia,1
219,,corpse,1
220,,days,1
221,,4MQHcxbBZz,1
222,,Pastor,1
223,,Kyle,1
224,,Lake,1
225,,Texas,1
226,,ceremony,1
227,,front,1
228,,entered,1
229,,attempted,1
230,,adjust,1
231,,microphone,1
232,,electrocuted,1
233,,ZSXSHkkmDE,1
234,,11th,1
235,,first,1
236,,detainees,1
237,,arrival,1
238,,Naval,1
239,,Station,1
240,,Guantanamo,1
241,,Bay,1
242,,Cuba,1
243,,J3VQraAhDN,1
244,,Mexico,1
245,,United,1
246,,States,1
247,,February,1
248,,Seven,1
249,,unidentified,1
250,,robbers,1
251,,gunmen,1
252,,ordered,1
253,,women,1
254,,children,1
255,,lie,1
256,,wuxFsHMIf4,1
257,,Police,1
258,,distracting,1
259,,little,1
260,,father,1
261,,car,1
262,,accident,1
263,,YV6pEtaUtT,1
264,,May,1
265,,stabbed,1
266,,times,1
267,,Aiden,1
268,,sister,1
269,,Alexis,1
270,,stand,1
271,,giving,1
272,,emotional,1
273,,speech,1
274,,bIu1DXLthM,1
275,,nine,1
276,,week,1
277,,baby,1
278,,Australia,1
279,,August,1
280,,camping,1
281,,trip,1
282,,dingo,1
283,,Unfortunately,1
284,,never,1
285,,parents,1
286,,Lindy,1
287,,Michael,1
288,,informed,1
289,,7f5V1w3C5J,1
