,profiles,kw,count
0,POTUS,co,11
1,,Americans,5
2,,Administration,5
3,,Today,5
4,,overdraft,5
5,,fee,5
6,,million,4
7,,America,4
8,,big,3
9,,small,3
10,,business,3
11,,hope,3
12,,American,3
13,,new,3
14,,businesses,3
15,,half,3
16,,debt,3
17,,high,3
18,,speed,3
19,,internet,3
20,,continue,2
21,,economy,2
22,,provide,2
23,,competition,2
24,,time,2
25,,act,2
26,,start,2
27,,right,2
28,,Lehigh,2
29,,Valley,2
30,,communities,2
31,,years,2
32,,strongest,2
33,,stretch,2
34,,today,2
35,,investment,2
36,,watch,2
37,,getting,2
38,,Hamas,2
39,,civilians,2
40,,keeping,2
41,,protect,2
42,,mayors,2
43,,U,2
44,,families,2
45,,average,2
46,,cut,2
47,,world,2
48,,affordable,2
49,,Uvalde,2
50,,School,2
51,,live,2
52,,Congress,2
53,,make,2
54,,security,2
55,,happening,2
56,,everywhere,2
57,,banks,2
58,,call,2
59,,exploitation,2
60,,bank,2
61,,Capitalism,2
62,,consumers,2
63,,everything,1
64,,power,1
65,,build,1
66,,progress,1
67,,growing,1
68,,lowering,1
69,,costs,1
70,,standing,1
71,,attempts,1
72,,extreme,1
73,,Republican,1
74,,officials,1
75,,giveaways,1
76,,corporations,1
77,,undermine,1
78,,someone,1
79,,Lauren,1
80,,Juan,1
81,,two,1
82,,Pennsylvanians,1
83,,determination,1
84,,embody,1
85,,story,1
86,,making,1
87,,comeback,1
88,,nationwide,1
89,,KnNTJGKHuc,1
90,,week,1
91,,learned,1
92,,filed,1
93,,applications,1
94,,first,1
95,,three,1
96,,acts,1
97,,record,1
98,,Small,1
99,,ones,1
100,,dropped,1
101,,Allentown,1
102,,area,1
103,,employ,1
104,,nearly,1
105,,private,1
106,,sector,1
107,,workers,1
108,,Hardworking,1
109,,deserve,1
110,,real,1
111,,i6YF5PDfU6,1
112,,Prime,1
113,,Minister,1
114,,Netanyahu,1
115,,discussed,1
116,,efforts,1
117,,secure,1
118,,release,1
119,,hostages,1
120,,held,1
121,,reviewed,1
122,,moves,1
123,,increase,1
124,,humanitarian,1
125,,aid,1
126,,military,1
127,,pressure,1
128,,reiterated,1
129,,Israel,1
130,,responsibility,1
131,,hszlHuov0M,1
132,,Tune,1
133,,welcome,1
134,,bipartisan,1
135,,attending,1
136,,Conference,1
137,,Winter,1
138,,Meeting,1
139,,White,1
140,,House,1
141,,spm3YMqPAy,1
142,,companies,1
143,,sneak,1
144,,hidden,1
145,,junk,1
146,,bills,1
147,,take,1
148,,hundreds,1
149,,dollars,1
150,,month,1
151,,pockets,1
152,,rule,1
153,,proposal,1
154,,saving,1
155,,typical,1
156,,family,1
157,,pays,1
158,,year,1
159,,higher,1
160,,education,1
161,,system,1
162,,opportunity,1
163,,burdens,1
164,,loan,1
165,,approved,1
166,,cancellation,1
167,,borrowers,1
168,,bringing,1
169,,total,1
170,,whose,1
171,,cancelled,1
172,,various,1
173,,actions,1
174,,Right,1
175,,growth,1
176,,lowest,1
177,,inflation,1
178,,major,1
179,,became,1
180,,president,1
181,,access,1
182,,well,1
183,,way,1
184,,connecting,1
185,,last,1
186,,reliable,1
187,,kZniRBZM4f,1
188,,Unemployment,1
189,,longest,1
190,,community,1
191,,go,1
192,,suffered,1
193,,students,1
194,,educators,1
195,,killed,1
196,,Robb,1
197,,Elementary,1
198,,full,1
199,,statement,1
200,,TheJusticeDept,1
201,,report,1
202,,shooting,1
203,,response,1
204,,EMsc5KGhkE,1
205,,Join,1
206,,Raleigh,1
207,,announce,1
208,,North,1
209,,Carolina,1
210,,bring,1
211,,additional,1
212,,homes,1
213,,online,1
214,,xXguQlvKJG,1
215,,Roe,1
216,,v,1
217,,Wade,1
218,,safeguarded,1
219,,fundamental,1
220,,choose,1
221,,freedom,1
222,,us,1
223,,decide,1
224,,codify,1
225,,mp2Rf0ixPC,1
226,,brought,1
227,,together,1
228,,Congressional,1
229,,leaders,1
230,,clear,1
231,,importance,1
232,,Ukraine,1
233,,needs,1
234,,defend,1
235,,Putin,1
236,,aggression,1
237,,Failure,1
238,,endangers,1
239,,free,1
240,,delay,1
241,,Pass,1
242,,national,1
243,,GcHg5oAVu0,1
244,,South,1
245,,Mountain,1
246,,Bike,1
247,,Shop,1
248,,Emmaus,1
249,,running,1
250,,store,1
251,,warm,1
252,,cafe,1
253,,heart,1
254,,Pennsylvania,1
255,,across,1
256,,thriving,1
257,,pgsjujwxkJ,1
258,,Exorbitant,1
259,,fees,1
260,,charged,1
261,,sometimes,1
262,,hit,1
263,,vulnerable,1
264,,hardest,1
265,,service,1
266,,taking,1
267,,tDYAc5vEE4,1
268,,Folks,1
269,,long,1
270,,cash,1
271,,cows,1
272,,fact,1
273,,one,1
274,,CEO,1
275,,actually,1
276,,named,1
277,,boat,1
278,,action,1
279,,hardworking,1
280,,water,1
281,,without,1
282,,ruling,1
283,,victory,1
284,,want,1
285,,lower,1
286,,prices,1
287,,choices,1
288,,fight,1
289,,enforce,1
290,,antitrust,1
291,,laws,1
