,profiles,kw,count
0,Pentosh1,co,9
1,,time,5
2,,say,5
3,,think,4
4,,people,4
5,,lot,4
6,,change,4
7,,even,4
8,,crypto,4
9,,days,3
10,,going,3
11,,range,3
12,,new,3
13,,past,3
14,,btc,3
15,,often,2
16,,Think,2
17,,support,2
18,,consolidation,2
19,,sol,2
20,,plays,2
21,,mid,2
22,,held,2
23,,today,2
24,,live,2
25,,coming,2
26,,half,2
27,,one,2
28,,always,2
29,,halving,2
30,,took,2
31,,though,2
32,,high,2
33,,metis,1
34,,large,1
35,,impulses,1
36,,moves,1
37,,underestimate,1
38,,axis,1
39,,part,1
40,,find,1
41,,way,1
42,,lose,1
43,,gains,1
44,,chart,1
45,,nothing,1
46,,bias,1
47,,Consolidation,1
48,,form,1
49,,correction,1
50,,SOL,1
51,,take,1
52,,play,1
53,,far,1
54,,following,1
55,,squiggly,1
56,,bounced,1
57,,least,1
58,,somewhere,1
59,,Even,1
60,,see,1
61,,area,1
62,,ZtPFn4gCSA,1
63,,fwiw,1
64,,good,1
65,,eco,1
66,,mean,1
67,,accumulate,1
68,,ETH,1
69,,Went,1
70,,Year,1
71,,long,1
72,,Expect,1
73,,higher,1
74,,sometime,1
75,,Q1,1
76,,early,1
77,,Q2,1
78,,i8fJVHlGyi,1
79,,BEAM,1
80,,well,1
81,,month,1
82,,200k,1
83,,burned,1
84,,yesterday,1
85,,165k,1
86,,vertical,1
87,,wonder,1
88,,happens,1
89,,running,1
90,,DndWaQWUku,1
91,,Trump,1
92,,ad,1
93,,bj5EF1f2Bz,1
94,,Peng,1
95,,reveal,1
96,,750k,1
97,,Lower,1
98,,right,1
99,,image,1
100,,YzIFKit9pU,1
101,,URQwW0cc6q,1
102,,w0fGW21iFw,1
103,,sell,1
104,,sold,1
105,,underwriting,1
106,,Barry,1
107,,unloading,1
108,,week,1
109,,Habibi,1
110,,come,1
111,,Dubai,1
112,,MHTChn05o8,1
113,,couple,1
114,,meet,1
115,,Europe,1
116,,dryer,1
117,,air,1
118,,conditioner,1
119,,Sometimes,1
120,,invite,1
121,,Europeans,1
122,,let,1
123,,push,1
124,,buttons,1
125,,machines,1
126,,almost,1
127,,clap,1
128,,seals,1
129,,laugh,1
130,,wholesome,1
131,,watching,1
132,,animal,1
133,,historically,1
134,,year,1
135,,alt,1
136,,blow,1
137,,top,1
138,,happened,1
139,,yet,1
140,,mined,1
141,,cut,1
142,,needing,1
143,,inflows,1
144,,daily,1
145,,peoples,1
146,,access,1
147,,buy,1
148,,ath,1
149,,Hard,1
150,,go,1
151,,college,1
152,,mom,1
153,,crack,1
154,,addict,1
155,,two,1
156,,things,1
157,,never,1
158,,bc,1
159,,lead,1
160,,path,1
161,,Luckily,1
162,,grandma,1
163,,really,1
164,,afford,1
165,,Life,1
166,,easy,1
167,,Without,1
168,,general,1
169,,pain,1
170,,tolerance,1
171,,likely,1
172,,face,1
173,,adversity,1
174,,course,1
175,,presidencies,1
176,,away,1
177,,first,1
178,,sitting,1
179,,president,1
180,,holding,1
181,,anyway,1
182,,look,1
183,,events,1
184,,years,1
185,,20T,1
186,,market,1
187,,cap,1
188,,day,1
189,,groups,1
190,,hate,1
191,,confidently,1
192,,minds,1
193,,Boomers,1
194,,embrace,1
195,,dare,1
196,,People,1
197,,got,1
198,,lucky,1
199,,conviction,1
200,,mind,1
201,,minutes,1
202,,believed,1
203,,ups,1
204,,downs,1
205,,Trading,1
206,,great,1
207,,projects,1
208,,potential,1
209,,perform,1
210,,Alts,1
211,,update,1
212,,makes,1
213,,highs,1
214,,Let,1
215,,tell,1
216,,something,1
217,,son,1
218,,need,1
219,,charts,1
220,,0pFj5KlljD,1
