,profiles,kw,count
0,RichardDawkins,Alex,2
1,,Religion,1
2,,science,1
3,,usually,1
4,,opposite,1
5,,ends,1
6,,boxing,1
7,,ring,1
8,,episode,1
9,,George,1
10,,Coyne,1
11,,Catholic,1
12,,Church,1
13,,proposes,1
14,,God,1
15,,evolution,1
16,,fact,1
17,,work,1
18,,effortlessly,1
19,,together,1
20,,right,1
21,,co,1
22,,a1czcdQFm2,1
23,,Join,1
24,,new,1
25,,conversation,1
26,,O'Connor,1
27,,CosmicSkeptic,1
28,,discuss,1
29,,range,1
30,,topics,1
31,,including,1
32,,Jordan,1
33,,Peterson,1
34,,Ayaan,1
35,,Hirsi,1
36,,Ali,1
37,,journey,1
38,,Christianity,1
39,,bafflement,1
40,,stand,1
41,,three,1
42,,years,1
43,,studying,1
44,,non,1
45,,subject,1
46,,theology,1
47,,fear,1
48,,death,1
