,profiles,kw,count
0,Scroll_ZKP,week,6
1,,Scroll_ZKP,6
2,,co,6
3,,sticker,6
4,,us,5
5,,Scroll,4
6,,ecosystem,3
7,,RT,3
8,,team,3
9,,gm,2
10,,time,2
11,,update,2
12,,BuildWithScroll,2
13,,highlight,2
14,,Join,2
15,,today,2
16,,00AM,2
17,,ET,2
18,,Jan,2
19,,MariaShen,2
20,,ElectricCapital,2
21,,developers,2
22,,RollCall,2
23,,design,2
24,,entries,2
25,,Place,2
26,,featuring,2
27,,scRoll,2
28,,Scrollers,1
29,,end,1
30,,provide,1
31,,overview,1
32,,everything,1
33,,happening,1
34,,across,1
35,,Let,1
36,,dive,1
37,,news,1
38,,2Tz1XJ6Q4D,1
39,,Lastly,1
40,,published,1
41,,latest,1
42,,covered,1
43,,Web3,1
44,,wallets,1
45,,portfolio,1
46,,trackers,1
47,,DEXs,1
48,,hope,1
49,,great,1
50,,weekend,1
51,,case,1
52,,missed,1
53,,last,1
54,,recap,1
55,,live,1
56,,Builders,1
57,,amazing,1
58,,projects,1
59,,building,1
60,,within,1
61,,ecos,1
62,,first,1
63,,Office,1
64,,Hours,1
65,,joined,1
66,,thegaram33,1
67,,dorukismen,1
68,,core,1
69,,sharing,1
70,,insight,1
71,,roles,1
72,,19th,1
73,,Discord,1
74,,EwbxIPwFab,1
75,,KdLs8k6ZIz,1
76,,three,1
77,,months,1
78,,launch,1
79,,Mainnet,1
80,,proud,1
81,,achieved,1
82,,far,1
83,,According,1
84,,study,1
85,,onboarded,1
86,,Q4,1
87,,ecosystems,1
88,,0oITK9AIts,1
89,,sandyzkp,1
90,,Thank,1
91,,recognition,1
92,,fastest,1
93,,growing,1
94,,overall,1
95,,Develo,1
96,,pseudotheos,1
97,,developer,1
98,,growth,1
99,,room,1
100,,everyone,1
101,,come,1
102,,build,1
103,,future,1
104,,anon,1
105,,iSGsJR,1
106,,Members,1
107,,attending,1
108,,monthly,1
109,,hosted,1
110,,CarlBeek,1
111,,adietrichs,1
112,,credibly,1
113,,neutral,1
114,,coordination,1
115,,call,1
116,,aiming,1
117,,bring,1
118,,together,1
119,,different,1
120,,L2,1
121,,collaborate,1
122,,ideas,1
123,,new,1
124,,industry,1
125,,standards,1
126,,help,1
127,,community,1
128,,Additional,1
129,,Requirements,1
130,,originally,1
131,,designed,1
132,,characters,1
133,,inside,1
134,,needs,1
135,,follow,1
136,,brand,1
137,,guidelines,1
138,,Extra,1
139,,bonus,1
140,,animated,1
141,,Submissions,1
142,,open,1
143,,official,1
144,,deadline,1
145,,UTC,1
146,,finalized,1
147,,must,1
148,,submitted,1
149,,following,1
150,,form,1
151,,order,1
152,,eligible,1
153,,z8KgzhCYO7,1
154,,Correction,1
155,,total,1
156,,prize,1
157,,pool,1
158,,amounts,1
159,,USD,1
160,,1st,1
161,,2nd,1
162,,5th,1
163,,participants,1
164,,required,1
165,,submit,1
166,,two,1
167,,individual,1
168,,based,1
169,,unique,1
170,,character,1
171,,Rock,1
172,,amp,1
173,,related,1
174,,meme,1
175,,choice,1
176,,creative,1
177,,bold,1
