,profiles,kw,count
0,ToeiAnimation,co,13
1,,RT,8
2,,ONEPIECE,7
3,,episode,4
4,,ep,4
5,,Digimon,4
6,,simulcast,3
7,,Egghead,3
8,,via,3
9,,Hello,3
10,,PRECURE,3
11,,island,2
12,,new,2
13,,latest,2
14,,available,2
15,,digimon_tcg_EN,2
16,,Tamers,2
17,,next,2
18,,Card,2
19,,Game,2
20,,Advanced,2
21,,Deck,2
22,,Set,2
23,,popular,2
24,,Fusion,2
25,,World,2
26,,Ticket,2
27,,OnePieceAnime,2
28,,Play,2
29,,free,2
30,,years,2
31,,Crunchyroll,2
32,,Sky,2
33,,protect,2
34,,city,2
35,,Beta,2
36,,Test,2
37,,Dragon,2
38,,Ball,2
39,,Straw,1
40,,Hats,1
41,,face,1
42,,powerful,1
43,,force,1
44,,sea,1
45,,end,1
46,,unknown,1
47,,offer,1
48,,either,1
49,,hope,1
50,,despair,1
51,,begins,1
52,,tonight,1
53,,original,1
54,,Japanese,1
55,,broadcast,1
56,,ArKutOcnZA,1
57,,NetflixAnime,1
58,,Netflix,1
59,,New,1
60,,One,1
61,,Piece,1
62,,Arc,1
63,,weekly,1
64,,Kingdom,1
65,,Lulusia,1
66,,country,1
67,,yio0L45hat,1
68,,March,1
69,,Regionals,1
70,,Take,1
71,,step,1
72,,competitive,1
73,,events,1
74,,joining,1
75,,Reg,1
76,,ST17,1
77,,Double,1
78,,Typhoon,1
79,,featuring,1
80,,Dr,1
81,,Vegapunk,1
82,,arrived,1
83,,mitOcHZoAs,1
84,,DB_official_en,1
85,,Ultimate,1
86,,Battle,1
87,,Official,1
88,,Event,1
89,,Coming,1
90,,DRAGON,1
91,,BALL,1
92,,SUPER,1
93,,CARD,1
94,,GAME,1
95,,vqYLlarVTF,1
96,,dragonb,1
97,,db_eventpj,1
98,,Due,1
99,,demand,1
100,,increased,1
101,,number,1
102,,Visitor,1
103,,registration,1
104,,open,1
105,,ONE,1
106,,PIECE,1
107,,PIRATE,1
108,,WARRIORS,1
109,,Xbox,1
110,,Days,1
111,,January,1
112,,enjoy,1
113,,character,1
114,,326CtyDUrb,1
115,,Remember,1
116,,reunited,1
117,,Goku,1
118,,gang,1
119,,past,1
120,,DragonBallZ,1
121,,mRSdQg0LmW,1
122,,name,1
123,,Episode,1
124,,streaming,1
125,,mlfeVgCjyE,1
126,,ICYMI,1
127,,see,1
128,,Opening,1
129,,sequence,1
130,,arc,1
131,,yet,1
132,,H4Utu72A3a,1
133,,I98afAnItr,1
134,,Maybe,1
135,,goofiest,1
136,,emperor,1
137,,OnePiece,1
138,,UIxQAXwBiZ,1
139,,ago,1
140,,today,1
141,,Ace,1
142,,told,1
143,,us,1
144,,Thank,1
145,,bn76isky41,1
146,,Empress,1
147,,goes,1
148,,self,1
149,,destructive,1
150,,mission,1
151,,Cure,1
152,,Watch,1
153,,newest,1
154,,SOARING,1
155,,Heroes,1
156,,Everyone,1
157,,Ew19hBHEg9,1
158,,Happy,1
159,,birthday,1
160,,Mayumi,1
161,,Tanaka,1
162,,AdOSNqH1ce,1
163,,dbfw_cardgameEN,1
164,,Announcement,1
165,,fans,1
166,,Digital,1
167,,ver,1
168,,Open,1
