,profiles,kw,count
0,coinbureau,co,25
1,,Bitcoin,6
2,,crypto,5
3,,RWA,4
4,,amp,3
5,,cover,3
6,,ETFs,3
7,,live,3
8,,well,3
9,,nicrypto,2
10,,Enjoy,2
11,,see,2
12,,altcoin,2
13,,vid,2
14,,Great,2
15,,US,2
16,,intocryptoverse,2
17,,tokenisation,2
18,,really,2
19,,make,2
20,,latest,2
21,,think,2
22,,ETH,2
23,,projects,2
24,,selling,2
25,,Sui,2
26,,detail,2
27,,GST,2
28,,EST,2
29,,Polkadot,2
30,,talk,2
31,,Another,1
32,,episode,1
33,,Coin,1
34,,Bureau,1
35,,Q,1
36,,SEI,1
37,,SUI,1
38,,TIA,1
39,,Token,1
40,,Potential,1
41,,KY2FeRhyfv,1
42,,Interesting,1
43,,digital,1
44,,Gold,1
45,,narrative,1
46,,borne,1
47,,data,1
48,,y4F8lGebsk,1
49,,promising,1
50,,invest,1
51,,rugpull,1
52,,scam,1
53,,designed,1
54,,leave,1
55,,rekt,1
56,,Well,1
57,,exactly,1
58,,need,1
59,,complete,1
60,,checklist,1
61,,avoid,1
62,,pitfalls,1
63,,covered,1
64,,today,1
65,,S1YlWja9gF,1
66,,still,1
67,,say,1
68,,l8F3rVJAhb,1
69,,RT,1
70,,coinbureau,1
71,,CBC,1
72,,members,1
73,,enjoying,1
74,,subscription,1
75,,right,1
76,,gates,1
77,,Apart,1
78,,small,1
79,,cap,1
80,,reviews,1
81,,rundown,1
82,,recent,1
83,,CPI,1
84,,Larry,1
85,,Fink,1
86,,singing,1
87,,praises,1
88,,MP2s9rDELq,1
89,,milly,1
90,,memcoin,1
91,,fool,1
92,,gold,1
93,,traps,1
94,,novice,1
95,,investors,1
96,,explored,1
97,,video,1
98,,BONK,1
99,,SHIB,1
100,,DOGE,1
101,,WIF,1
102,,A6E202FKsL,1
103,,Shout,1
104,,Grayscale,1
105,,real,1
106,,MVPs,1
107,,G1mLfBNE0F,1
108,,seem,1
109,,bad,1
110,,least,1
111,,655m,1
112,,inflows,1
113,,gkdsSrMtb1,1
114,,great,1
115,,Padel,1
116,,rivalry,1
117,,continues,1
118,,bZFbyGwIqF,1
119,,ETF,1
120,,eventually,1
121,,approved,1
122,,eESy82tgVE,1
123,,Real,1
124,,World,1
125,,Assets,1
126,,attention,1
127,,major,1
128,,players,1
129,,JP,1
130,,Morgan,1
131,,Blackrock,1
132,,catalyst,1
133,,brings,1
134,,next,1
135,,trillion,1
136,,explore,1
137,,xDlgHBbz9v,1
138,,markets,1
139,,Satashi,1
140,,start,1
141,,coins,1
142,,8j3bpOH6K3,1
143,,Hailed,1
144,,Ultimate,1
145,,High,1
146,,Speed,1
147,,Blockchain,1
148,,hype,1
149,,project,1
150,,HioJsVXd7M,1
151,,miners,1
152,,likely,1
153,,sure,1
154,,capitalised,1
155,,ahead,1
156,,halving,1
157,,bFKr5tg8iH,1
158,,Thursday,1
159,,means,1
160,,back,1
161,,NFA,1
162,,Coming,1
163,,NewsAsset,1
164,,6pm,1
165,,9am,1
166,,CB,1
167,,Clips,1
168,,See,1
169,,gAvndCdh0x,1
170,,QNmRjrst1F,1
171,,one,1
172,,exciting,1
173,,performing,1
174,,bull,1
175,,run,1
176,,update,1
177,,DOT,1
178,,takes,1
179,,enter,1
180,,spotlight,1
181,,YzyANGuRlx,1
182,,Discuss,1
183,,V9RptmVkcN,1
184,,Gary,1
185,,getting,1
186,,ready,1
187,,eat,1
188,,yet,1
189,,another,1
190,,massive,1
191,,L,1
192,,chances,1
193,,knows,1
194,,CBDC,1
195,,Seems,1
196,,talking,1
197,,point,1
198,,votes,1
199,,35sPCPsgPI,1
200,,WTF,1
201,,going,1
202,,WEF,1
203,,ILX3PEG2bo,1
204,,first,1
205,,time,1
206,,said,1
207,,made,1
208,,statement,1
209,,interviews,1
210,,Maybe,1
211,,CNBC,1
212,,stop,1
213,,asking,1
214,,dimwitted,1
215,,twit,1
216,,opinion,1
217,,Qp8leYXfEi,1
218,,completely,1
219,,new,1
220,,things,1
221,,must,1
222,,know,1
223,,investing,1
224,,broken,1
225,,Y3hGSVtsBZ,1
226,,Going,1
227,,jessicasmw,1
228,,30pm,1
229,,30am,1
230,,Lot,1
231,,including,1
232,,selloff,1
233,,Dencun,1
234,,upgrade,1
235,,CpyXPAalJt,1
236,,IFTaPMG7YJ,1
237,,presidential,1
238,,ticket,1
239,,best,1
