,profiles,kw,count
0,justinsuntron,co,6
1,,blockchain,5
2,,TRON,4
3,,services,3
4,,sqTQec4uv5,3
5,,support,3
6,,funds,3
7,,SAFU,3
8,,HTX_DAO,3
9,,RT,3
10,,Tron,3
11,,billion,2
12,,time,2
13,,community,2
14,,火币HTX所有服务已经恢复,2
15,,感谢您的关心与支持,2
16,,所有资金都是安全的,2
17,,restored,2
18,,Thank,2
19,,concern,2
20,,technology,2
21,,welcome,2
22,,Huawei,2
23,,build,2
24,,Big,2
25,,Together,2
26,,Congratulations,1
27,,USDT,1
28,,circulation,1
29,,exceeding,1
30,,first,1
31,,Everyone,1
32,,made,1
33,,huge,1
34,,contribution,1
35,,achievement,1
36,,goal,1
37,,issuing,1
38,,stablecoins,1
39,,achieved,1
40,,soon,1
41,,paoloardoino,1
42,,Tether_to,1
43,,X7d3zm4EAE,1
44,,Link,1
45,,nOA7gQx3pC,1
46,,人民交易所屹立不倒,1
47,,火币HTX被DDOS攻击,1
48,,我们预计会在数十分钟内恢复服务,1
49,,用户资产都是安全的,1
50,,attacked,1
51,,DDoS,1
52,,expect,1
53,,restore,1
54,,within,1
55,,tens,1
56,,minutes,1
57,,elonmusk,1
58,,Better,1
59,,version,1
60,,individual,1
61,,serving,1
62,,diplomatic,1
63,,ambassador,1
64,,international,1
65,,institutions,1
66,,UN,1
67,,WTO,1
68,,deeply,1
69,,aware,1
70,,importance,1
71,,global,1
72,,cooperation,1
73,,education,1
74,,knowledge,1
75,,particularly,1
76,,important,1
77,,wholeheartedly,1
78,,supports,1
79,,proposal,1
80,,United,1
81,,Nations,1
82,,different,1
83,,views,1
84,,professional,1
85,,facts,1
86,,handling,1
87,,methods,1
88,,refer,1
89,,report,1
90,,LF4ovqwKnK,1
91,,火币一姐冲出亚洲了,1
92,,Pleased,1
93,,see,1
94,,form,1
95,,partnership,1
96,,Cloud,1
97,,joining,1
98,,mainstream,1
99,,Ethereum,1
100,,new,1
101,,Web3,1
102,,HTX_Global,1
103,,News,1
104,,HTX,1
105,,directs,1
106,,platform,1
107,,revenue,1
108,,towards,1
109,,HTXDAO,1
110,,ecosystem,1
111,,development,1
112,,Embracing,1
113,,long,1
114,,term,1
115,,optimism,1
116,,trondao,1
117,,stronger,1
118,,Let,1
