,profiles,kw,count
0,wsbmod,co,17
1,,Bitcoin,4
2,,last,3
3,,BlackRock,3
4,,Spirit,3
5,,crypto,2
6,,Nurse,2
7,,years,2
8,,Man,2
9,,amp,2
10,,P,2
11,,stocks,2
12,,back,2
13,,Larry,2
14,,TradFi,2
15,,check,2
16,,one,2
17,,Airlines,2
18,,found,1
19,,18m,1
20,,bitcoin,1
21,,ledger,1
22,,forgotten,1
23,,DMcTde7PkV,1
24,,lived,1
25,,winters,1
26,,worse,1
27,,bYPCViTG68,1
28,,Wake,1
29,,coma,1
30,,Great,1
31,,miss,1
32,,anything,1
33,,LFACdH29pW,1
34,,hit,1
35,,new,1
36,,time,1
37,,high,1
38,,Meme,1
39,,40k,1
40,,really,1
41,,Tech,1
42,,CEOs,1
43,,gave,1
44,,presentations,1
45,,VqiRt6txKd,1
46,,natural,1
47,,beauty,1
48,,cities,1
49,,stunning,1
50,,TwisIVX4UY,1
51,,Boeing,1
52,,caught,1
53,,fire,1
54,,night,1
55,,taking,1
56,,Miami,1
57,,DqnzYO77cP,1
58,,imagine,1
59,,Franklin,1
60,,Templeton,1
61,,intern,1
62,,farming,1
63,,ondo,1
64,,points,1
65,,lol,1
66,,probably,1
67,,good,1
68,,farm,1
69,,though,1
70,,sees,1
71,,value,1
72,,tokenization,1
73,,much,1
74,,interest,1
75,,transacting,1
76,,chain,1
77,,significantly,1
78,,enters,1
79,,space,1
80,,want,1
81,,support,1
82,,native,1
83,,projects,1
84,,building,1
85,,lt,1
86,,gt,1
87,,defi,1
88,,rails,1
89,,Ondo,1
90,,btw,1
91,,already,1
92,,tokenized,1
93,,ETFs,1
94,,yiz9cWBjkr,1
95,,SBXU8q27XW,1
96,,wife,1
97,,keep,1
98,,explaining,1
99,,hedge,1
100,,funds,1
101,,manipulate,1
102,,securities,1
103,,dark,1
104,,pools,1
105,,q25gsClcL8,1
106,,Guys,1
107,,setup,1
108,,portfolio,1
109,,cMfRkhv1Zh,1
110,,knows,1
111,,mute,1
112,,right,1
113,,QUuooANEO4,1
114,,ETF,1
115,,first,1
116,,billion,1
117,,inflows,1
118,,activate,1
119,,slo,1
120,,mode,1
121,,TsTHlF9EWW,1
122,,stock,1
123,,today,1
124,,losing,1
125,,yesterday,1
126,,situation,1
127,,dire,1
128,,shareholders,1
129,,may,1
130,,start,1
131,,traveling,1
132,,save,1
133,,money,1
134,,1mQwNKp55Z,1
135,,literally,1
136,,put,1
137,,hat,1
138,,LhoT93gcFD,1
139,,happened,1
140,,simply,1
141,,bet,1
142,,entire,1
143,,net,1
144,,worth,1
145,,Ants,1
146,,win,1
147,,world,1
148,,series,1
149,,mate,1
150,,Michael,1
151,,Saylor,1
152,,fighting,1
153,,4WIMATMahV,1
154,,RT,1
155,,EricBalchunas,1
156,,ddA7Syolmv,1
157,,Institutions,1
158,,rushing,1
159,,calling,1
160,,fraud,1
161,,9W2Cd3jjrU,1
